streak_id,member_id,streak_type,streak_start_date,streak_end_date,streak_length_days,break_reason,longest_streak_flag,is_streak_ongoing,is_length_outlier_iqr,is_length_outlier_zscore
STR-012957,MBR-001920,Gym-Attendance Streak,2024-12-15,2025-01-03,20,Illness,True,False,False,False
STR-030442,MBR-014764,App-Log Streak,2022-06-11,2022-07-10,30,Injury,False,False,False,False
STR-021833,MBR-001079,Gym-Attendance Streak,2024-10-15,2024-10-15,1,Festival/Holiday,False,False,False,False
STR-001291,MBR-002243,App-Log Streak,2022-12-24,2023-01-12,20,Injury,False,False,False,False
STR-007783,MBR-003165,App-Log Streak,2022-02-04,2022-02-05,2,Motivation Loss,False,False,False,False
STR-002191,MBR-011245,App-Log Streak,2022-07-29,2022-07-30,2,Monsoon Disruption,True,False,False,False
STR-022898,MBR-012263,Gym-Attendance Streak,2022-01-21,2022-03-11,50,Injury,False,False,False,False
STR-016484,MBR-001302,Gym-Attendance Streak,2024-01-29,2024-03-02,34,Motivation Loss,True,False,False,False
STR-027419,MBR-009801,App-Log Streak,2021-11-23,2021-11-25,3,Unknown,False,False,False,False
STR-001850,MBR-002884,Gym-Attendance Streak,2024-12-19,2025-01-16,29,Unknown,True,False,False,False
STR-025437,MBR-016458,Gym-Attendance Streak,2025-04-19,2025-04-19,1,Motivation Loss,False,False,False,False
STR-021523,MBR-016626,Gym-Attendance Streak,2024-05-13,2024-05-17,5,Unknown,False,False,False,False
STR-036443,MBR-009523,App-Log Streak,2025-09-28,,3,Ongoing,False,True,False,False
STR-029008,MBR-001888,Gym-Attendance Streak,2023-08-01,2023-08-04,4,Unknown,False,False,False,False
STR-030005,MBR-012823,Gym-Attendance Streak,2021-09-04,2021-11-01,59,Festival/Holiday,True,False,True,False
STR-033770,MBR-002796,Gym-Attendance Streak,2021-05-14,2021-05-14,1,Monsoon Disruption,False,False,False,False
STR-037020,MBR-010379,App-Log Streak,2022-02-20,2022-02-28,9,Motivation Loss,False,False,False,False
STR-030129,MBR-010071,App-Log Streak,2023-11-21,2023-11-21,1,Monsoon Disruption,False,False,False,False
STR-021886,MBR-003547,App-Log Streak,2021-10-04,2021-10-16,13,Unknown,True,False,False,False
STR-002481,MBR-009322,Gym-Attendance Streak,2025-02-21,2025-03-18,26,Unknown,False,False,False,False
STR-013996,MBR-008033,Gym-Attendance Streak,2025-08-10,2025-09-12,34,Unknown,True,False,False,False
STR-011146,MBR-011212,App-Log Streak,2022-06-15,,1204,Ongoing,True,True,True,True
STR-008418,MBR-008743,App-Log Streak,2023-04-07,2023-05-02,26,Unknown,False,False,False,False
STR-024618,MBR-017079,Gym-Attendance Streak,2025-02-25,2025-08-29,186,Work Pressure,True,False,True,False
STR-012070,MBR-005870,App-Log Streak,2023-03-25,2023-04-08,15,Work Pressure,False,False,False,False
STR-039952,MBR-009231,App-Log Streak,2024-02-01,2024-02-27,27,Motivation Loss,False,False,False,False
STR-020172,MBR-008121,App-Log Streak,2023-06-13,2023-07-10,28,Travel,True,False,False,False
STR-032866,MBR-006127,App-Log Streak,2025-06-08,2025-06-17,10,Unknown,False,False,False,False
STR-016975,MBR-014133,Gym-Attendance Streak,2024-11-19,2024-11-23,5,Unknown,True,False,False,False
STR-036876,MBR-010565,App-Log Streak,2025-02-08,2025-02-10,3,Motivation Loss,False,False,False,False
STR-011357,MBR-000901,App-Log Streak,2025-08-14,2025-08-14,1,Motivation Loss,False,False,False,False
STR-014480,MBR-001029,App-Log Streak,2023-05-23,2023-07-04,43,Motivation Loss,True,False,False,False
STR-000512,MBR-006747,App-Log Streak,2025-07-14,2025-08-03,21,Work Pressure,False,False,False,False
STR-017529,MBR-009957,Gym-Attendance Streak,2021-02-26,2021-03-04,7,Unknown,False,False,False,False
STR-021525,MBR-012002,App-Log Streak,2025-07-22,2025-07-27,6,Monsoon Disruption,False,False,False,False
STR-018122,MBR-006680,Gym-Attendance Streak,2024-12-02,2024-12-13,12,Unknown,True,False,False,False
STR-001626,MBR-011657,Gym-Attendance Streak,2024-03-21,2024-04-04,15,Travel,False,False,False,False
STR-019362,MBR-013909,Gym-Attendance Streak,2022-01-14,2022-01-26,13,Travel,False,False,False,False
STR-036826,MBR-004972,App-Log Streak,2023-07-15,2023-07-24,10,Injury,False,False,False,False
STR-028413,MBR-008874,Gym-Attendance Streak,2025-02-09,2025-02-11,3,Motivation Loss,False,False,False,False
STR-013960,MBR-006972,App-Log Streak,2025-02-06,2025-02-17,12,Illness,True,False,False,False
STR-021723,MBR-013890,Gym-Attendance Streak,2022-03-09,2022-03-09,1,Unknown,False,False,False,False
STR-000940,MBR-014071,App-Log Streak,2023-07-20,2023-09-05,48,Unknown,False,False,False,False
STR-013588,MBR-004008,App-Log Streak,2024-05-20,2024-05-24,5,Motivation Loss,False,False,False,False
STR-027548,MBR-007048,Gym-Attendance Streak,2025-06-01,2025-07-12,42,Monsoon Disruption,True,False,False,False
STR-032696,MBR-002107,Gym-Attendance Streak,2025-08-28,,34,Ongoing,False,True,False,False
STR-023569,MBR-017440,Gym-Attendance Streak,2023-04-14,2023-04-24,11,Travel,False,False,False,False
STR-006901,MBR-006779,App-Log Streak,2024-01-26,2024-01-26,1,Work Pressure,False,False,False,False
STR-025702,MBR-009175,App-Log Streak,2023-06-04,2023-06-04,1,Motivation Loss,False,False,False,False
STR-037884,MBR-014576,App-Log Streak,2024-04-22,2024-05-04,13,Unknown,False,False,False,False
STR-009916,MBR-010696,App-Log Streak,2024-11-18,2024-12-09,22,Illness,True,False,False,False
STR-013061,MBR-012209,App-Log Streak,2022-07-29,2022-10-09,73,Festival/Holiday,False,False,True,False
STR-025995,MBR-001975,Gym-Attendance Streak,2023-04-20,2023-04-28,9,Injury,False,False,False,False
STR-011350,MBR-012433,App-Log Streak,2023-09-02,2023-10-03,32,Illness,False,False,False,False
STR-032684,MBR-014389,Gym-Attendance Streak,2022-08-05,2022-10-08,65,Travel,False,False,True,False
STR-014223,MBR-005932,Gym-Attendance Streak,2023-11-29,2023-12-01,3,Unknown,True,False,False,False
STR-035521,MBR-006453,App-Log Streak,2023-03-15,2023-03-24,10,Work Pressure,False,False,False,False
STR-025442,MBR-012855,App-Log Streak,2023-08-24,2023-08-28,5,Travel,False,False,False,False
STR-006446,MBR-013488,Gym-Attendance Streak,2022-12-30,2023-01-11,13,Motivation Loss,False,False,False,False
STR-014032,MBR-007461,App-Log Streak,2023-11-15,2023-11-26,12,Illness,True,False,False,False
STR-004503,MBR-007366,Gym-Attendance Streak,2022-11-13,2022-11-20,8,Travel,True,False,False,False
STR-023606,MBR-008933,App-Log Streak,2025-02-01,2025-02-12,12,Unknown,False,False,False,False
STR-001681,MBR-010737,Gym-Attendance Streak,2025-09-10,,21,Ongoing,False,True,False,False
STR-037671,MBR-004347,Gym-Attendance Streak,2023-03-23,2023-03-28,6,Travel,False,False,False,False
STR-039007,MBR-010036,Gym-Attendance Streak,2023-10-19,2023-10-27,9,Monsoon Disruption,False,False,False,False
STR-014563,MBR-002630,Gym-Attendance Streak,2022-11-30,2022-12-11,12,Travel,False,False,False,False
STR-039404,MBR-004993,Gym-Attendance Streak,2024-07-01,2024-07-06,6,Unknown,False,False,False,False
STR-021593,MBR-011859,App-Log Streak,2022-06-16,2022-08-29,75,Unknown,True,False,True,False
STR-020320,MBR-008709,Gym-Attendance Streak,2023-03-09,2023-03-14,6,Festival/Holiday,False,False,False,False
STR-024571,MBR-003713,Gym-Attendance Streak,2025-04-05,2025-04-06,2,Work Pressure,False,False,False,False
STR-036422,MBR-010714,App-Log Streak,2023-05-31,2023-06-28,29,Monsoon Disruption,False,False,False,False
STR-022790,MBR-007836,App-Log Streak,2025-02-07,2025-02-17,11,Unknown,True,False,False,False
STR-029427,MBR-014287,Gym-Attendance Streak,2023-07-09,2023-08-06,29,Motivation Loss,False,False,False,False
STR-025580,MBR-011542,Gym-Attendance Streak,2023-05-03,2023-05-16,14,Motivation Loss,True,False,False,False
STR-013521,MBR-011445,App-Log Streak,2025-06-11,2025-08-01,52,Unknown,False,False,False,False
STR-013803,MBR-016373,Gym-Attendance Streak,2025-05-12,2025-06-01,21,Unknown,True,False,False,False
STR-034099,MBR-004613,Gym-Attendance Streak,2024-02-26,2024-03-06,10,Unknown,True,False,False,False
STR-039526,MBR-006991,Gym-Attendance Streak,2023-07-22,2023-08-10,20,Monsoon Disruption,False,False,False,False
STR-031804,MBR-010107,App-Log Streak,2021-09-11,2021-10-12,32,Festival/Holiday,True,False,False,False
STR-001545,MBR-011864,Gym-Attendance Streak,2022-10-17,2022-10-30,14,Festival/Holiday,False,False,False,False
STR-037606,MBR-013017,Gym-Attendance Streak,2023-12-17,2024-02-01,47,Motivation Loss,True,False,False,False
STR-038117,MBR-007391,Gym-Attendance Streak,2022-03-14,2022-03-19,6,Monsoon Disruption,False,False,False,False
STR-032363,MBR-012979,App-Log Streak,2023-07-03,2023-07-08,6,Motivation Loss,False,False,False,False
STR-034949,MBR-000472,Gym-Attendance Streak,2022-10-11,2022-11-21,42,Unknown,False,False,False,False
STR-027579,MBR-002212,Gym-Attendance Streak,2024-04-16,2024-07-27,103,Monsoon Disruption,True,False,True,False
STR-025698,MBR-001887,App-Log Streak,2024-12-28,2025-01-06,10,Unknown,False,False,False,False
STR-017770,MBR-007269,Gym-Attendance Streak,2025-01-02,2025-01-30,29,Travel,True,False,False,False
STR-034795,MBR-000996,App-Log Streak,2025-04-23,2025-05-04,12,Unknown,False,False,False,False
STR-007208,MBR-017216,App-Log Streak,2025-08-01,2025-08-11,11,Work Pressure,True,False,False,False
STR-028029,MBR-004640,App-Log Streak,2024-02-08,2024-03-04,26,Unknown,False,False,False,False
STR-008325,MBR-015147,App-Log Streak,2023-07-21,2023-10-23,95,Festival/Holiday,True,False,True,False
STR-030229,MBR-001326,App-Log Streak,2021-05-10,2021-05-20,11,Work Pressure,True,False,False,False
STR-008264,MBR-010477,App-Log Streak,2022-11-27,2022-11-30,4,Unknown,False,False,False,False
STR-009536,MBR-004380,Gym-Attendance Streak,2024-04-24,2024-05-18,25,Monsoon Disruption,False,False,False,False
STR-026830,MBR-008067,Gym-Attendance Streak,2025-08-12,2025-09-30,50,Injury,True,False,False,False
STR-033411,MBR-008289,App-Log Streak,2025-05-21,,133,Ongoing,True,True,True,False
STR-025988,MBR-013481,App-Log Streak,2024-01-16,2024-02-11,27,Travel,False,False,False,False
STR-014059,MBR-010968,Gym-Attendance Streak,2025-09-28,2025-09-30,3,Motivation Loss,False,False,False,False
STR-011507,MBR-005743,Gym-Attendance Streak,2025-02-18,2025-02-22,5,Travel,False,False,False,False
STR-037061,MBR-010560,Gym-Attendance Streak,2025-05-18,,136,Ongoing,True,True,True,False
STR-006058,MBR-005925,Gym-Attendance Streak,2024-03-17,2024-03-26,10,Unknown,False,False,False,False
STR-029335,MBR-009084,App-Log Streak,2024-09-28,2024-11-09,43,Unknown,True,False,False,False
STR-039620,MBR-015702,Gym-Attendance Streak,2025-03-06,2025-03-18,13,Festival/Holiday,False,False,False,False
STR-035554,MBR-005208,Gym-Attendance Streak,2024-01-14,2024-02-14,32,Travel,True,False,False,False
STR-034818,MBR-004660,App-Log Streak,2021-11-30,2021-12-08,9,Monsoon Disruption,True,False,False,False
STR-013957,MBR-010857,App-Log Streak,2025-08-05,2025-08-17,13,Unknown,False,False,False,False
STR-032112,MBR-005665,App-Log Streak,2022-07-27,2022-07-27,1,Festival/Holiday,False,False,False,False
STR-000348,MBR-008486,Gym-Attendance Streak,2023-05-22,2023-05-28,7,Motivation Loss,False,False,False,False
STR-006389,MBR-008845,App-Log Streak,2025-04-20,2025-05-13,24,Unknown,True,False,False,False
STR-027802,MBR-010944,Gym-Attendance Streak,2021-07-22,2021-07-31,10,Festival/Holiday,True,False,False,False
STR-033646,MBR-005912,Gym-Attendance Streak,2021-11-28,2021-12-16,19,Unknown,False,False,False,False
STR-028504,MBR-016884,Gym-Attendance Streak,2024-06-30,2024-08-07,39,Unknown,False,False,False,False
STR-022951,MBR-008566,Gym-Attendance Streak,2021-10-08,2021-10-18,11,Unknown,False,False,False,False
STR-022897,MBR-006342,Gym-Attendance Streak,2025-07-10,2025-07-18,9,Unknown,False,False,False,False
STR-026641,MBR-016666,App-Log Streak,2023-05-30,2023-06-04,6,Unknown,False,False,False,False
STR-015618,MBR-000233,App-Log Streak,2024-06-13,2024-06-22,10,Unknown,False,False,False,False
STR-015867,MBR-015807,Gym-Attendance Streak,2024-04-26,2024-04-27,2,Illness,False,False,False,False
STR-029005,MBR-001888,App-Log Streak,2023-04-07,2023-04-15,9,Unknown,False,False,False,False
STR-034921,MBR-008447,Gym-Attendance Streak,2022-11-03,2022-11-20,18,Travel,True,False,False,False
STR-035305,MBR-006227,App-Log Streak,2024-12-26,2025-01-05,11,Work Pressure,False,False,False,False
STR-039931,MBR-008815,Gym-Attendance Streak,2024-04-16,2024-05-24,39,Travel,False,False,False,False
STR-033442,MBR-000261,App-Log Streak,2022-12-02,2023-01-02,32,Injury,True,False,False,False
STR-009658,MBR-016740,Gym-Attendance Streak,2021-04-01,2021-04-12,12,Motivation Loss,True,False,False,False
STR-026901,MBR-016396,Gym-Attendance Streak,2025-07-02,2025-07-16,15,Injury,False,False,False,False
STR-027023,MBR-002130,App-Log Streak,2025-03-09,2025-03-19,11,Motivation Loss,True,False,False,False
STR-030136,MBR-012323,Gym-Attendance Streak,2024-12-18,2025-01-13,27,Motivation Loss,True,False,False,False
STR-018292,MBR-015862,Gym-Attendance Streak,2025-09-04,2025-09-10,7,Travel,False,False,False,False
STR-030637,MBR-015629,Gym-Attendance Streak,2025-04-09,2025-04-13,5,Festival/Holiday,False,False,False,False
STR-013447,MBR-004988,App-Log Streak,2023-02-05,2023-02-20,16,Unknown,True,False,False,False
STR-012740,MBR-001359,App-Log Streak,2025-06-13,2025-06-14,2,Unknown,False,False,False,False
STR-021147,MBR-013303,App-Log Streak,2025-08-27,2025-09-16,21,Motivation Loss,False,False,False,False
STR-003679,MBR-005432,Gym-Attendance Streak,2025-03-29,2025-04-10,13,Unknown,False,False,False,False
STR-012431,MBR-007839,Gym-Attendance Streak,2022-12-03,2022-12-06,4,Motivation Loss,False,False,False,False
STR-014573,MBR-000712,Gym-Attendance Streak,2022-03-14,2022-04-08,26,Injury,False,False,False,False
STR-011349,MBR-012433,Gym-Attendance Streak,2023-06-28,2023-07-19,22,Unknown,False,False,False,False
STR-008828,MBR-010996,Gym-Attendance Streak,2021-07-06,2021-08-12,38,Work Pressure,True,False,False,False
STR-011481,MBR-017378,Gym-Attendance Streak,2022-12-19,2022-12-29,11,Motivation Loss,False,False,False,False
STR-021284,MBR-007189,App-Log Streak,2021-12-13,2021-12-16,4,Injury,False,False,False,False
STR-008394,MBR-009118,Gym-Attendance Streak,2023-07-21,2023-07-22,2,Monsoon Disruption,True,False,False,False
STR-019579,MBR-007783,Gym-Attendance Streak,2021-11-25,2021-12-15,21,Work Pressure,False,False,False,False
STR-034895,MBR-012865,Gym-Attendance Streak,2024-11-05,2024-11-08,4,Festival/Holiday,False,False,False,False
STR-027445,MBR-007006,Gym-Attendance Streak,2023-05-06,2023-05-13,8,Unknown,False,False,False,False
STR-016641,MBR-003409,Gym-Attendance Streak,2022-04-08,2022-04-12,5,Unknown,False,False,False,False
STR-011117,MBR-003379,App-Log Streak,2023-08-25,2023-08-27,3,Work Pressure,False,False,False,False
STR-025553,MBR-004170,Gym-Attendance Streak,2021-10-18,2021-10-20,3,Unknown,False,False,False,False
STR-020061,MBR-009017,App-Log Streak,2024-12-08,2025-01-11,35,Unknown,False,False,False,False
STR-025777,MBR-005022,App-Log Streak,2025-07-11,2025-07-28,18,Unknown,False,False,False,False
STR-037120,MBR-006570,Gym-Attendance Streak,2024-03-01,2024-03-27,27,Illness,False,False,False,False
STR-037155,MBR-002518,Gym-Attendance Streak,2024-05-02,2024-05-02,1,Illness,False,False,False,False
STR-016075,MBR-016930,Gym-Attendance Streak,2025-06-22,2025-06-28,7,Motivation Loss,False,False,False,False
STR-017818,MBR-008623,App-Log Streak,2025-03-05,,210,Ongoing,True,True,True,False
STR-000280,MBR-014350,App-Log Streak,2022-12-05,2022-12-08,4,Work Pressure,False,False,False,False
STR-027360,MBR-016425,Gym-Attendance Streak,2024-03-03,2024-03-31,29,Unknown,True,False,False,False
STR-036572,MBR-016818,Gym-Attendance Streak,2024-10-27,2025-01-31,97,Illness,False,False,True,False
STR-030468,MBR-002683,App-Log Streak,2024-09-01,2024-09-17,17,Work Pressure,False,False,False,False
STR-009597,MBR-010744,Gym-Attendance Streak,2022-09-16,2022-10-01,16,Unknown,False,False,False,False
STR-037294,MBR-004400,App-Log Streak,2023-01-13,2023-03-22,69,Illness,True,False,True,False
STR-008008,MBR-002505,Gym-Attendance Streak,2024-11-08,2024-11-13,6,Unknown,True,False,False,False
STR-024857,MBR-013673,App-Log Streak,2023-02-25,2023-04-18,53,Festival/Holiday,False,False,False,False
STR-039718,MBR-012775,Gym-Attendance Streak,2022-12-04,2022-12-23,20,Work Pressure,False,False,False,False
STR-027412,MBR-005182,Gym-Attendance Streak,2025-01-24,2025-03-30,66,Travel,True,False,True,False
STR-013387,MBR-000053,App-Log Streak,2024-10-25,2024-10-28,4,Work Pressure,True,False,False,False
STR-002336,MBR-011441,App-Log Streak,2022-12-17,2023-01-26,41,Motivation Loss,True,False,False,False
STR-004653,MBR-009880,App-Log Streak,2023-07-19,2023-07-22,4,Motivation Loss,True,False,False,False
STR-000481,MBR-009484,App-Log Streak,2022-05-07,2022-06-07,32,Motivation Loss,True,False,False,False
STR-022827,MBR-011024,Gym-Attendance Streak,2025-06-09,2025-06-21,13,Motivation Loss,True,False,False,False
STR-016098,MBR-008538,App-Log Streak,2024-05-18,2024-05-22,5,Unknown,False,False,False,False
STR-029432,MBR-003598,App-Log Streak,2024-02-16,2024-09-09,207,Festival/Holiday,True,False,True,False
STR-004071,MBR-002416,App-Log Streak,2025-02-17,2025-03-11,23,Unknown,True,False,False,False
STR-003843,MBR-012349,Gym-Attendance Streak,2025-07-30,2025-08-28,30,Unknown,False,False,False,False
STR-031399,MBR-004187,Gym-Attendance Streak,2022-06-15,2022-08-02,49,Injury,True,False,False,False
STR-035952,MBR-011892,App-Log Streak,2022-07-20,2022-07-21,2,Unknown,False,False,False,False
STR-014335,MBR-017073,App-Log Streak,2023-07-30,2023-08-02,4,Monsoon Disruption,False,False,False,False
STR-025296,MBR-011432,Gym-Attendance Streak,2022-01-28,2022-02-17,21,Unknown,False,False,False,False
STR-004302,MBR-009099,Gym-Attendance Streak,2024-12-17,2025-01-09,24,Travel,True,False,False,False
STR-025733,MBR-009994,Gym-Attendance Streak,2023-09-08,2023-10-07,30,Unknown,False,False,False,False
STR-020828,MBR-000530,Gym-Attendance Streak,2023-11-25,2024-01-10,47,Work Pressure,False,False,False,False
STR-006470,MBR-011195,App-Log Streak,2025-02-05,2025-02-18,14,Work Pressure,False,False,False,False
STR-037748,MBR-002101,Gym-Attendance Streak,2023-12-23,2024-01-12,21,Festival/Holiday,False,False,False,False
STR-014873,MBR-009984,Gym-Attendance Streak,2024-06-23,2024-07-23,31,Unknown,True,False,False,False
STR-018671,MBR-000934,Gym-Attendance Streak,2022-07-17,2022-08-06,21,Unknown,True,False,False,False
STR-033102,MBR-007741,Gym-Attendance Streak,2022-09-11,2022-09-26,16,Unknown,False,False,False,False
STR-003326,MBR-008045,Gym-Attendance Streak,2021-06-24,2021-06-28,5,Unknown,False,False,False,False
STR-017113,MBR-009434,Gym-Attendance Streak,2022-01-28,2022-03-01,33,Unknown,False,False,False,False
STR-034457,MBR-010244,Gym-Attendance Streak,2023-03-23,2023-04-03,12,Motivation Loss,False,False,False,False
STR-027603,MBR-004816,Gym-Attendance Streak,2021-06-24,2021-07-01,8,Travel,False,False,False,False
STR-025037,MBR-016929,App-Log Streak,2021-06-16,2021-06-22,7,Unknown,False,False,False,False
STR-004832,MBR-005680,App-Log Streak,2024-06-03,2024-06-08,6,Unknown,False,False,False,False
STR-036600,MBR-010633,App-Log Streak,2023-06-24,2023-06-28,5,Unknown,False,False,False,False
STR-031377,MBR-015043,App-Log Streak,2022-08-21,2022-10-27,68,Unknown,True,False,True,False
STR-005018,MBR-001742,Gym-Attendance Streak,2024-08-28,2024-09-24,28,Unknown,True,False,False,False
STR-015000,MBR-008158,App-Log Streak,2023-04-22,2023-04-23,2,Illness,True,False,False,False
STR-011790,MBR-003360,App-Log Streak,2022-06-16,2022-06-28,13,Unknown,False,False,False,False
STR-021598,MBR-004231,Gym-Attendance Streak,2025-02-16,2025-02-19,4,Motivation Loss,False,False,False,False
STR-024514,MBR-013319,Gym-Attendance Streak,2024-01-08,2024-01-08,1,Motivation Loss,True,False,False,False
STR-002329,MBR-008406,App-Log Streak,2023-04-15,2023-04-18,4,Unknown,False,False,False,False
STR-027922,MBR-016787,Gym-Attendance Streak,2024-06-17,2024-06-23,7,Monsoon Disruption,False,False,False,False
STR-022086,MBR-013734,Gym-Attendance Streak,2024-08-21,2024-09-13,24,Unknown,True,False,False,False
STR-027177,MBR-007859,Gym-Attendance Streak,2022-11-30,2022-12-07,8,Travel,False,False,False,False
STR-020021,MBR-012500,Gym-Attendance Streak,2024-03-02,2024-03-06,5,Festival/Holiday,False,False,False,False
STR-014667,MBR-016455,Gym-Attendance Streak,2025-04-01,2025-04-14,14,Festival/Holiday,True,False,False,False
