checkin_id,member_id,branch_id,checkin_datetime,checkout_datetime,workout_type,trainer_id,duration_minutes,is_checkout_missing,day_of_week,checkin_hour,actual_duration_minutes,season_tag,is_duration_outlier
CHK-000021,MBR-007434,BR-038,2021-01-11 21:06:36,2021-01-11 22:26:36,Cardio,Self-Guided,79,False,Monday,21,80.0,Winter,False
CHK-000022,MBR-007099,BR-033,2021-01-12 10:40:42,2021-01-12 11:27:42,Group Class,Self-Guided,45,False,Tuesday,10,47.0,Winter,False
CHK-000023,MBR-015768,BR-037,2021-01-12 19:14:20,2021-01-12 20:01:20,Cardio,Self-Guided,45,False,Tuesday,19,47.0,Winter,False
CHK-000024,MBR-013666,BR-018,2021-01-12 19:15:36,2021-01-12 20:44:36,Strength Training,Self-Guided,87,False,Tuesday,19,89.0,Winter,False
CHK-000025,MBR-013993,BR-038,2021-01-12 20:09:10,2021-01-12 21:28:10,Cardio,Self-Guided,77,False,Tuesday,20,79.0,Winter,False
CHK-000026,MBR-006896,BR-021,2021-01-12 21:25:38,2021-01-12 22:13:38,Cardio,Self-Guided,51,False,Tuesday,21,48.0,Winter,False
CHK-000027,MBR-001324,BR-033,2021-01-12 21:27:55,2021-01-12 22:37:55,Group Class,Self-Guided,65,False,Tuesday,21,70.0,Winter,False
CHK-000028,MBR-014377,BR-007,2021-01-12 21:38:22,,Personal Training Session,TR-024,55,True,Tuesday,21,,Winter,False
CHK-000029,MBR-005454,BR-029,2021-01-12 21:47:45,2021-01-12 22:41:45,Cardio,Self-Guided,55,False,Tuesday,21,54.0,Winter,False
CHK-000030,MBR-003287,BR-018,2021-01-13 10:55:33,2021-01-13 11:47:33,Strength Training,Self-Guided,53,False,Wednesday,10,52.0,Winter,False
CHK-000031,MBR-011908,BR-016,2021-01-13 13:14:04,2021-01-13 13:50:04,Strength Training,Self-Guided,32,False,Wednesday,13,36.0,Winter,False
CHK-000032,MBR-010481,BR-026,2021-01-13 13:34:44,2021-01-13 14:40:44,Personal Training Session,TR-035,70,False,Wednesday,13,66.0,Winter,False
CHK-000033,MBR-008937,BR-011,2021-01-13 21:14:34,2021-01-13 22:51:34,Cardio,Self-Guided,94,False,Wednesday,21,97.0,Winter,False
CHK-000034,MBR-003259,BR-039,2021-01-14 11:10:03,2021-01-14 11:57:03,Strength Training,Self-Guided,50,False,Thursday,11,47.0,Winter,False
CHK-000035,MBR-015138,BR-034,2021-01-14 11:23:55,2021-01-14 13:01:55,Cardio,Self-Guided,98,False,Thursday,11,98.0,Winter,False
CHK-000036,MBR-005059,BR-027,2021-01-14 19:16:18,2021-01-14 20:16:18,Cardio,Self-Guided,58,False,Thursday,19,60.0,Winter,False
CHK-000037,MBR-001627,BR-026,2021-01-14 21:06:33,2021-01-14 21:57:33,Group Class,Self-Guided,54,False,Thursday,21,51.0,Winter,False
CHK-000038,MBR-011894,BR-033,2021-01-15 15:04:36,2021-01-15 15:58:36,Cardio,Self-Guided,53,False,Friday,15,54.0,Winter,False
CHK-000039,MBR-002055,BR-005,2021-01-15 18:42:43,2021-01-15 19:51:43,Group Class,Self-Guided,67,False,Friday,18,69.0,Winter,False
CHK-000040,MBR-010643,BR-013,2021-01-15 21:01:37,2021-01-15 22:14:37,Cardio,Self-Guided,70,False,Friday,21,73.0,Winter,False
CHK-000041,MBR-007434,BR-038,2021-01-16 11:55:21,2021-01-16 12:51:21,Cardio,Self-Guided,55,False,Saturday,11,56.0,Winter,False
CHK-000042,MBR-000853,BR-037,2021-01-16 12:32:50,2021-01-16 13:52:50,Group Class,Self-Guided,81,False,Saturday,12,80.0,Winter,False
CHK-000043,MBR-000703,BR-018,2021-01-16 18:42:54,2021-01-16 19:26:54,Group Class,Self-Guided,42,False,Saturday,18,44.0,Winter,False
CHK-000044,MBR-010481,BR-026,2021-01-18 08:49:44,2021-01-18 09:43:44,Strength Training,Self-Guided,55,False,Monday,8,54.0,Winter,False
CHK-000045,MBR-001538,BR-024,2021-01-18 20:21:29,2021-01-18 21:21:29,Cardio,Self-Guided,58,False,Monday,20,60.0,Winter,False
CHK-000046,MBR-001627,BR-026,2021-01-18 20:43:08,2021-01-18 22:02:08,Cardio,Self-Guided,81,False,Monday,20,79.0,Winter,False
CHK-000047,MBR-009586,BR-003,2021-01-18 21:29:25,2021-01-18 23:16:25,Cardio,Self-Guided,106,False,Monday,21,107.0,Winter,False
CHK-000048,MBR-007678,BR-037,2021-01-19 07:08:29,2021-01-19 08:41:29,Strength Training,Self-Guided,94,False,Tuesday,7,93.0,Winter,False
CHK-000049,MBR-009242,BR-026,2021-01-19 08:54:26,2021-01-19 09:39:26,Cardio,Self-Guided,47,False,Tuesday,8,45.0,Winter,False
CHK-000050,MBR-004649,BR-017,2021-01-19 18:36:57,2021-01-19 19:27:57,Cardio,Self-Guided,49,False,Tuesday,18,51.0,Winter,False
CHK-000051,MBR-008043,BR-012,2021-01-19 20:41:32,2021-01-19 21:52:32,Cardio,Self-Guided,67,False,Tuesday,20,71.0,Winter,False
CHK-000052,MBR-009955,BR-039,2021-01-20 06:55:30,,Strength Training,Self-Guided,62,True,Wednesday,6,,Winter,False
CHK-000053,MBR-002529,BR-005,2021-01-20 08:12:26,2021-01-20 08:57:26,Strength Training,Self-Guided,41,False,Wednesday,8,45.0,Winter,False
CHK-000054,MBR-011382,BR-010,2021-01-20 16:47:26,2021-01-20 17:47:26,Strength Training,Self-Guided,56,False,Wednesday,16,60.0,Winter,False
CHK-000055,MBR-006086,BR-008,2021-01-20 18:41:28,2021-01-20 20:15:28,Group Class,Self-Guided,93,False,Wednesday,18,94.0,Winter,False
CHK-000056,MBR-010481,BR-026,2021-01-20 20:09:06,2021-01-20 21:25:06,Strength Training,Self-Guided,75,False,Wednesday,20,76.0,Winter,False
CHK-000057,MBR-013505,BR-007,2021-01-21 10:19:56,2021-01-21 11:35:56,Cardio,Self-Guided,71,False,Thursday,10,76.0,Winter,False
CHK-000058,MBR-001433,BR-038,2021-01-21 16:30:14,2021-01-21 18:02:14,Group Class,Self-Guided,94,False,Thursday,16,92.0,Winter,False
CHK-000059,MBR-002778,BR-018,2021-01-21 18:56:55,2021-01-21 19:27:55,Strength Training,Self-Guided,33,False,Thursday,18,31.0,Winter,False
CHK-000060,MBR-015597,BR-008,2021-01-21 22:01:06,2021-01-21 23:23:06,Strength Training,Self-Guided,79,False,Thursday,22,82.0,Winter,False
CHK-000061,MBR-014321,BR-029,2021-01-22 05:41:02,2021-01-22 06:42:02,Cardio,Self-Guided,62,False,Friday,5,61.0,Winter,False
CHK-000062,MBR-014523,BR-026,2021-01-22 09:12:01,2021-01-22 10:51:01,Group Class,Self-Guided,98,False,Friday,9,99.0,Winter,False
CHK-000063,MBR-007004,BR-039,2021-01-22 18:02:50,2021-01-22 18:49:50,Group Class,Self-Guided,45,False,Friday,18,47.0,Winter,False
CHK-000064,MBR-000151,BR-012,2021-01-22 19:52:47,2021-01-22 21:00:47,Cardio,Self-Guided,64,False,Friday,19,68.0,Winter,False
CHK-000065,MBR-016941,BR-016,2021-01-23 11:28:58,2021-01-23 11:53:58,Cardio,Self-Guided,29,False,Saturday,11,25.0,Winter,False
CHK-000066,MBR-013733,BR-035,2021-01-24 08:19:59,2021-01-24 09:31:59,Personal Training Session,TR-015,73,False,Sunday,8,72.0,Winter,False
CHK-000067,MBR-003394,BR-016,2021-01-24 19:16:35,2021-01-24 20:49:35,Group Class,Self-Guided,91,False,Sunday,19,93.0,Winter,False
CHK-000068,MBR-010140,BR-028,2021-01-25 06:52:07,2021-01-25 07:45:07,Group Class,Self-Guided,55,False,Monday,6,53.0,Winter,False
CHK-000069,MBR-002751,BR-030,2021-01-25 19:44:39,2021-01-25 21:31:39,Strength Training,Self-Guided,108,False,Monday,19,107.0,Winter,False
CHK-000070,MBR-005364,BR-010,2021-01-25 20:05:14,2021-01-25 21:03:14,Cardio,Self-Guided,56,False,Monday,20,58.0,Winter,False
CHK-000071,MBR-008101,BR-016,2021-01-25 22:49:19,2021-01-25 23:34:19,Group Class,Self-Guided,49,False,Monday,22,45.0,Winter,False
CHK-000072,MBR-011229,BR-008,2021-01-26 20:17:56,2021-01-26 21:58:56,Group Class,Self-Guided,104,False,Tuesday,20,101.0,Winter,False
CHK-000073,MBR-003836,BR-033,2021-01-27 02:52:53,2021-01-27 04:21:53,Group Class,Self-Guided,91,False,Wednesday,2,89.0,Winter,False
CHK-000074,MBR-014042,BR-017,2021-01-27 05:09:36,2021-01-27 06:50:36,Strength Training,Self-Guided,105,False,Wednesday,5,101.0,Winter,False
CHK-000075,MBR-007604,BR-023,2021-01-27 05:36:13,2021-01-27 06:22:13,Strength Training,Self-Guided,49,False,Wednesday,5,46.0,Winter,False
CHK-000076,MBR-001538,BR-024,2021-01-27 12:50:03,2021-01-27 14:27:03,Strength Training,Self-Guided,101,False,Wednesday,12,97.0,Winter,False
CHK-000077,MBR-013993,BR-038,2021-01-27 18:13:10,2021-01-27 19:41:10,Cardio,Self-Guided,90,False,Wednesday,18,88.0,Winter,False
CHK-000078,MBR-006277,BR-029,2021-01-27 18:46:47,2021-01-27 20:23:47,Group Class,Self-Guided,99,False,Wednesday,18,97.0,Winter,False
CHK-000079,MBR-005651,BR-016,2021-01-27 18:59:02,2021-01-27 20:05:02,Strength Training,Self-Guided,69,False,Wednesday,18,66.0,Winter,False
CHK-000080,MBR-007585,BR-008,2021-01-28 16:18:08,2021-01-28 17:17:08,Strength Training,Self-Guided,59,False,Thursday,16,59.0,Winter,False
CHK-000081,MBR-003677,BR-013,2021-01-28 19:17:46,2021-01-28 19:55:46,Personal Training Session,TR-049,39,False,Thursday,19,38.0,Winter,False
CHK-000082,MBR-005141,BR-015,2021-01-28 20:11:08,2021-01-28 21:34:08,Cardio,Self-Guided,86,False,Thursday,20,83.0,Winter,False
CHK-000083,MBR-000434,BR-004,2021-01-28 20:23:56,2021-01-28 21:04:56,Group Class,Self-Guided,41,False,Thursday,20,41.0,Winter,False
CHK-000084,MBR-005636,BR-018,2021-01-28 22:32:46,2021-01-28 23:46:46,Cardio,Self-Guided,72,False,Thursday,22,74.0,Winter,False
CHK-000085,MBR-011812,BR-004,2021-01-29 15:15:50,2021-01-29 16:12:50,Personal Training Session,TR-045,60,False,Friday,15,57.0,Winter,False
CHK-000086,MBR-006298,BR-009,2021-01-29 18:56:27,2021-01-29 20:13:27,Group Class,Self-Guided,72,False,Friday,18,77.0,Winter,False
CHK-000087,MBR-007004,BR-039,2021-01-29 19:25:24,2021-01-29 20:48:24,Cardio,Self-Guided,82,False,Friday,19,83.0,Winter,False
CHK-000088,MBR-010704,BR-013,2021-01-29 21:34:16,2021-01-29 22:17:16,Group Class,Self-Guided,40,False,Friday,21,43.0,Winter,False
CHK-000089,MBR-010309,BR-027,2021-01-31 08:09:31,2021-01-31 09:12:31,Group Class,Self-Guided,62,False,Sunday,8,63.0,Winter,False
CHK-000090,MBR-014443,BR-002,2021-01-31 17:12:33,2021-01-31 18:52:33,Group Class,Self-Guided,102,False,Sunday,17,100.0,Winter,False
CHK-000091,MBR-013666,BR-018,2021-02-01 08:09:10,2021-02-01 08:55:10,Strength Training,Self-Guided,49,False,Monday,8,46.0,Winter,False
CHK-000092,MBR-015796,BR-008,2021-02-01 09:16:44,,Cardio,Self-Guided,62,True,Monday,9,,Winter,False
CHK-000093,MBR-016736,BR-018,2021-02-01 16:59:37,2021-02-01 17:47:37,Group Class,Self-Guided,51,False,Monday,16,48.0,Winter,False
CHK-000094,MBR-006351,BR-012,2021-02-01 21:10:43,,Group Class,Self-Guided,87,True,Monday,21,,Winter,False
CHK-000095,MBR-011238,BR-028,2021-02-02 07:48:58,2021-02-02 08:37:58,Cardio,Self-Guided,53,False,Tuesday,7,49.0,Winter,False
CHK-000096,MBR-001625,BR-009,2021-02-02 12:26:59,2021-02-02 13:19:59,Cardio,Self-Guided,51,False,Tuesday,12,53.0,Winter,False
CHK-000097,MBR-002252,BR-011,2021-02-02 12:39:23,2021-02-02 13:30:23,Cardio,Self-Guided,49,False,Tuesday,12,51.0,Winter,False
CHK-000098,MBR-005893,BR-031,2021-02-02 17:48:56,2021-02-02 18:30:56,Cardio,Self-Guided,43,False,Tuesday,17,42.0,Winter,False
CHK-000099,MBR-011812,BR-004,2021-02-02 18:48:49,,Group Class,Self-Guided,54,True,Tuesday,18,,Winter,False
CHK-000100,MBR-002796,BR-021,2021-02-02 19:57:25,2021-02-02 21:19:25,Cardio,Self-Guided,79,False,Tuesday,19,82.0,Winter,False
CHK-000101,MBR-000246,BR-015,2021-02-02 22:28:14,2021-02-02 23:07:14,Personal Training Session,TR-009,39,False,Tuesday,22,39.0,Winter,False
CHK-000102,MBR-014872,BR-017,2021-02-03 09:26:08,2021-02-03 09:51:08,Cardio,Self-Guided,28,False,Wednesday,9,25.0,Winter,False
CHK-000103,MBR-000905,BR-033,2021-02-03 11:00:41,,Strength Training,Self-Guided,40,True,Wednesday,11,,Winter,False
CHK-000104,MBR-005141,BR-015,2021-02-03 17:52:33,2021-02-03 18:41:33,Group Class,Self-Guided,48,False,Wednesday,17,49.0,Winter,False
CHK-000105,MBR-011287,BR-015,2021-02-03 19:18:55,2021-02-03 20:18:55,Cardio,Self-Guided,60,False,Wednesday,19,60.0,Winter,False
CHK-000106,MBR-006298,BR-009,2021-02-04 06:42:55,,Personal Training Session,TR-003,57,True,Thursday,6,,Winter,False
CHK-000107,MBR-014037,BR-009,2021-02-04 09:27:00,2021-02-04 10:20:00,Group Class,Self-Guided,50,False,Thursday,9,53.0,Winter,False
CHK-000108,MBR-000287,BR-038,2021-02-04 10:41:59,2021-02-04 11:43:59,Cardio,Self-Guided,63,False,Thursday,10,62.0,Winter,False
CHK-000109,MBR-011664,BR-034,2021-02-04 13:04:22,2021-02-04 14:33:22,Cardio,Self-Guided,86,False,Thursday,13,89.0,Winter,False
CHK-000110,MBR-006086,BR-008,2021-02-04 18:47:17,2021-02-04 19:39:17,Group Class,Self-Guided,49,False,Thursday,18,52.0,Winter,False
CHK-000111,MBR-009734,BR-019,2021-02-04 19:17:45,2021-02-04 20:19:45,Cardio,Self-Guided,59,False,Thursday,19,62.0,Winter,False
CHK-000112,MBR-002134,BR-036,2021-02-04 19:49:00,2021-02-04 21:22:00,Cardio,Self-Guided,96,False,Thursday,19,93.0,Winter,False
CHK-000113,MBR-016080,BR-002,2021-02-05 03:19:37,2021-02-05 04:07:37,Personal Training Session,TR-041,49,False,Friday,3,48.0,Winter,False
CHK-000114,MBR-005263,BR-011,2021-02-05 09:51:57,2021-02-05 10:50:57,Strength Training,Self-Guided,61,False,Friday,9,59.0,Winter,False
CHK-000115,MBR-000067,BR-036,2021-02-05 18:48:53,,Personal Training Session,TR-033,53,True,Friday,18,,Winter,False
CHK-000116,MBR-006277,BR-029,2021-02-05 19:57:59,2021-02-05 20:38:59,Strength Training,Self-Guided,43,False,Friday,19,41.0,Winter,False
CHK-000117,MBR-012666,BR-034,2021-02-06 05:22:01,2021-02-06 06:19:01,Personal Training Session,TR-047,52,False,Saturday,5,57.0,Winter,False
CHK-000118,MBR-004148,BR-033,2021-02-07 12:45:44,2021-02-07 13:34:44,Group Class,Self-Guided,52,False,Sunday,12,49.0,Winter,False
CHK-000119,MBR-000638,BR-031,2021-02-08 06:23:24,2021-02-08 07:20:24,Group Class,Self-Guided,58,False,Monday,6,57.0,Winter,False
CHK-000120,MBR-007681,BR-034,2021-02-08 07:06:05,2021-02-08 07:30:05,Group Class,Self-Guided,28,False,Monday,7,24.0,Winter,False
CHK-000121,MBR-000948,BR-028,2021-02-08 16:30:52,2021-02-08 17:40:52,Cardio,Self-Guided,69,False,Monday,16,70.0,Winter,False
CHK-000122,MBR-000213,BR-021,2021-02-08 16:48:22,2021-02-08 17:47:22,Cardio,Self-Guided,62,False,Monday,16,59.0,Winter,False
CHK-000123,MBR-005364,BR-020,2021-02-08 20:43:41,2021-02-08 21:42:41,Strength Training,Self-Guided,63,False,Monday,20,59.0,Winter,False
CHK-000124,MBR-003802,BR-026,2021-02-09 03:05:17,2021-02-09 04:24:17,Strength Training,Self-Guided,74,False,Tuesday,3,79.0,Winter,False
CHK-000125,MBR-007585,BR-008,2021-02-09 06:18:36,2021-02-09 07:22:36,Cardio,Self-Guided,60,False,Tuesday,6,64.0,Winter,False
CHK-000126,MBR-011965,BR-020,2021-02-09 07:45:13,,Group Class,Self-Guided,75,True,Tuesday,7,,Winter,False
CHK-000127,MBR-016975,BR-009,2021-02-09 12:04:24,2021-02-09 12:32:24,Cardio,Self-Guided,26,False,Tuesday,12,28.0,Winter,False
CHK-000128,MBR-011825,BR-020,2021-02-09 19:56:49,2021-02-09 20:57:49,Group Class,Self-Guided,57,False,Tuesday,19,61.0,Winter,False
CHK-000129,MBR-004634,BR-013,2021-02-10 07:54:53,,Cardio,Self-Guided,35,True,Wednesday,7,,Winter,False
CHK-000130,MBR-012957,BR-028,2021-02-10 08:44:29,2021-02-10 09:35:29,Strength Training,Self-Guided,50,False,Wednesday,8,51.0,Winter,False
CHK-000131,MBR-012053,BR-026,2021-02-10 09:06:38,2021-02-10 10:33:38,Cardio,Self-Guided,90,False,Wednesday,9,87.0,Winter,False
CHK-000132,MBR-016115,BR-031,2021-02-10 12:59:25,2021-02-10 13:47:25,Strength Training,Self-Guided,51,False,Wednesday,12,48.0,Winter,False
CHK-000133,MBR-010813,BR-036,2021-02-10 14:11:01,2021-02-10 15:15:01,Group Class,Self-Guided,64,False,Wednesday,14,64.0,Winter,False
CHK-000134,MBR-000067,BR-036,2021-02-10 18:59:47,2021-02-10 19:59:47,Strength Training,Self-Guided,59,False,Wednesday,18,60.0,Winter,False
CHK-000135,MBR-006896,BR-021,2021-02-10 20:09:01,2021-02-10 21:35:01,Cardio,Self-Guided,84,False,Wednesday,20,86.0,Winter,False
CHK-000136,MBR-000067,BR-036,2021-02-10 21:02:36,2021-02-10 21:55:36,Personal Training Session,TR-038,52,False,Wednesday,21,53.0,Winter,False
CHK-000137,MBR-003452,BR-038,2021-02-10 21:33:24,2021-02-10 22:42:24,Personal Training Session,TR-014,71,False,Wednesday,21,69.0,Winter,False
CHK-000138,MBR-013647,BR-017,2021-02-11 09:30:58,,Strength Training,Self-Guided,63,True,Thursday,9,,Winter,False
CHK-000139,MBR-015796,BR-008,2021-02-11 19:14:31,2021-02-11 20:08:31,Group Class,Self-Guided,51,False,Thursday,19,54.0,Winter,False
CHK-000140,MBR-011719,BR-020,2021-02-11 19:52:54,2021-02-11 21:36:54,Cardio,Self-Guided,101,False,Thursday,19,104.0,Winter,False
CHK-000141,MBR-006351,BR-012,2021-02-11 19:55:50,2021-02-11 21:05:50,Group Class,Self-Guided,68,False,Thursday,19,70.0,Winter,False
CHK-000142,MBR-013209,BR-027,2021-02-12 06:36:09,,Strength Training,Self-Guided,46,True,Friday,6,,Winter,False
CHK-000143,MBR-006657,BR-037,2021-02-12 16:07:20,2021-02-12 17:07:20,Personal Training Session,TR-032,60,False,Friday,16,60.0,Winter,False
CHK-000144,MBR-000580,BR-017,2021-02-12 19:10:27,2021-02-12 20:01:27,Personal Training Session,TR-005,55,False,Friday,19,51.0,Winter,False
CHK-000145,MBR-013226,BR-011,2021-02-12 21:41:16,2021-02-12 22:38:16,Cardio,Self-Guided,61,False,Friday,21,57.0,Winter,False
CHK-000146,MBR-002887,BR-038,2021-02-13 06:35:46,2021-02-13 07:37:46,Personal Training Session,TR-039,60,False,Saturday,6,62.0,Winter,False
CHK-000147,MBR-003210,BR-033,2021-02-13 12:17:04,2021-02-13 12:45:04,Strength Training,Self-Guided,24,False,Saturday,12,28.0,Winter,False
CHK-000148,MBR-001684,BR-017,2021-02-14 07:31:05,2021-02-14 09:18:05,Strength Training,Self-Guided,109,False,Sunday,7,107.0,Winter,False
CHK-000149,MBR-013866,BR-024,2021-02-14 18:45:19,,Cardio,Self-Guided,63,True,Sunday,18,,Winter,False
CHK-000150,MBR-011908,BR-016,2021-02-14 19:44:20,2021-02-14 20:06:20,Strength Training,Self-Guided,23,False,Sunday,19,22.0,Winter,False
CHK-000151,MBR-009604,BR-030,2021-02-14 20:49:59,2021-02-14 22:07:59,Strength Training,Self-Guided,80,False,Sunday,20,78.0,Winter,False
CHK-000152,MBR-007046,BR-033,2021-02-15 04:57:58,2021-02-15 05:17:58,Cardio,Self-Guided,23,False,Monday,4,20.0,Winter,False
CHK-000153,MBR-015676,BR-017,2021-02-15 05:45:38,2021-02-15 07:35:38,Group Class,Self-Guided,105,False,Monday,5,110.0,Winter,False
CHK-000154,MBR-013051,BR-038,2021-02-15 07:30:48,2021-02-15 08:14:48,Cardio,Self-Guided,45,False,Monday,7,44.0,Winter,False
CHK-000155,MBR-003228,BR-018,2021-02-15 12:33:07,2021-02-15 13:41:07,Strength Training,Self-Guided,71,False,Monday,12,68.0,Winter,False
CHK-000156,MBR-013105,BR-017,2021-02-16 09:12:27,2021-02-16 10:47:27,Cardio,Self-Guided,91,False,Tuesday,9,95.0,Winter,False
CHK-000157,MBR-008936,BR-038,2021-02-16 19:29:39,2021-02-16 20:48:39,Strength Training,Self-Guided,80,False,Tuesday,19,79.0,Winter,False
CHK-000158,MBR-011092,BR-038,2021-02-16 19:46:01,2021-02-16 21:14:01,Group Class,Self-Guided,89,False,Tuesday,19,88.0,Winter,False
CHK-000159,MBR-012188,BR-012,2021-02-16 20:15:46,2021-02-16 21:18:46,Group Class,Self-Guided,61,False,Tuesday,20,63.0,Winter,False
CHK-000160,MBR-010754,BR-012,2021-02-16 21:22:55,,Cardio,Self-Guided,54,True,Tuesday,21,,Winter,False
CHK-000161,MBR-002066,BR-035,2021-02-17 09:11:34,2021-02-17 10:18:34,Cardio,Self-Guided,69,False,Wednesday,9,67.0,Winter,False
CHK-000162,MBR-013557,BR-021,2021-02-17 19:35:53,2021-02-17 20:23:53,Strength Training,Self-Guided,51,False,Wednesday,19,48.0,Winter,False
CHK-000163,MBR-003259,BR-039,2021-02-18 07:24:09,2021-02-18 09:02:09,Group Class,Self-Guided,99,False,Thursday,7,98.0,Winter,False
CHK-000164,MBR-015032,BR-028,2021-02-18 14:26:01,2021-02-18 15:04:01,Cardio,Self-Guided,36,False,Thursday,14,38.0,Winter,False
CHK-000165,MBR-015032,BR-028,2021-02-18 14:31:01,2021-02-18 15:09:01,Cardio,Self-Guided,36,False,Thursday,14,38.0,Winter,False
CHK-000166,MBR-015533,BR-005,2021-02-18 18:28:42,2021-02-18 19:18:42,Cardio,Self-Guided,48,False,Thursday,18,50.0,Winter,False
CHK-000167,MBR-003245,BR-017,2021-02-18 20:44:05,2021-02-18 21:41:05,Cardio,Self-Guided,53,False,Thursday,20,57.0,Winter,False
CHK-000168,MBR-001625,BR-009,2021-02-18 21:53:35,2021-02-18 22:50:35,Personal Training Session,TR-018,60,False,Thursday,21,57.0,Winter,False
CHK-000169,MBR-003152,BR-031,2021-02-19 07:16:20,2021-02-19 08:38:20,Strength Training,Self-Guided,85,False,Friday,7,82.0,Winter,False
CHK-000170,MBR-011364,BR-033,2021-02-19 11:54:01,2021-02-19 13:15:01,Cardio,Self-Guided,84,False,Friday,11,81.0,Winter,False
CHK-000171,MBR-011664,BR-034,2021-02-19 14:48:57,2021-02-19 15:46:57,Personal Training Session,TR-010,57,False,Friday,14,58.0,Winter,False
CHK-000172,MBR-011776,BR-006,2021-02-19 18:12:56,2021-02-19 19:36:56,Cardio,Self-Guided,86,False,Friday,18,84.0,Winter,False
CHK-000173,MBR-009038,BR-037,2021-02-20 12:55:21,2021-02-20 13:57:21,Strength Training,Self-Guided,66,False,Saturday,12,62.0,Winter,False
CHK-000174,MBR-000042,BR-034,2021-02-21 09:37:22,2021-02-21 10:23:22,Strength Training,Self-Guided,44,False,Sunday,9,46.0,Winter,False
CHK-000175,MBR-004148,BR-033,2021-02-21 16:14:41,,Strength Training,Self-Guided,52,True,Sunday,16,,Winter,False
CHK-000176,MBR-000258,BR-029,2021-02-21 18:13:06,,Strength Training,Self-Guided,40,True,Sunday,18,,Winter,False
CHK-000177,MBR-001954,BR-037,2021-02-21 18:26:21,2021-02-21 19:58:21,Group Class,Self-Guided,89,False,Sunday,18,92.0,Winter,False
CHK-000178,MBR-007008,BR-028,2021-02-22 06:27:04,2021-02-22 07:13:04,Group Class,Self-Guided,47,False,Monday,6,46.0,Winter,False
CHK-000179,MBR-014211,BR-028,2021-02-22 13:05:14,2021-02-22 14:31:14,Strength Training,Self-Guided,89,False,Monday,13,86.0,Winter,False
