event_id,member_id,event_datetime,event_type,platform,session_duration_seconds,notification_engagement,event_day_of_week,event_hour,is_session_duration_outlier
APP-051994,MBR-012871,2024-10-01 09:38:47,Workout Logged Manually,Android,88,Not Applicable,Tuesday,9,False
APP-076535,MBR-016615,2023-12-29 10:20:42,Workout Logged Manually,iOS,38,Not Applicable,Friday,10,False
APP-055716,MBR-001222,2025-08-31 17:44:37,Diet Log Entry,Android,272,Not Applicable,Sunday,17,True
APP-065056,MBR-003797,2023-04-13 20:00:52,Push Notification Opened,Android,21,Opened,Thursday,20,False
APP-072600,MBR-009077,2023-09-01 11:56:35,Push Notification Opened,iOS,12,Ignored,Friday,11,False
APP-088009,MBR-011695,2023-05-31 06:55:36,Workout Logged Manually,Android,111,Not Applicable,Wednesday,6,False
APP-005428,MBR-007254,2024-09-09 22:40:04,Referral Sent,Android,10,Not Applicable,Monday,22,False
APP-077544,MBR-004332,2023-07-10 05:17:57,Community/WhatsApp-style Group Post,iOS,121,Not Applicable,Monday,5,False
APP-059918,MBR-011552,2022-01-22 20:40:29,Diet Log Entry,Android,234,Not Applicable,Saturday,20,True
APP-022961,MBR-012545,2023-04-07 09:55:56,Workout Logged Manually,iOS,38,Not Applicable,Friday,9,False
APP-018297,MBR-000673,2022-04-15 07:29:12,Diet Log Entry,Android,103,Not Applicable,Friday,7,False
APP-020465,MBR-014346,2022-01-19 21:20:38,Push Notification Opened,Android,5,Opened,Wednesday,21,False
APP-071143,MBR-005600,2021-06-02 06:17:39,App Opened–No Action,Android,7,Not Applicable,Wednesday,6,False
APP-090925,MBR-004124,2024-12-25 19:39:40,Workout Logged Manually,iOS,51,Not Applicable,Wednesday,19,False
APP-065486,MBR-002064,2025-04-19 05:33:16,App Opened–No Action,Android,7,Not Applicable,Saturday,5,False
APP-005972,MBR-016566,2025-08-24 20:59:30,Streak Viewed,Android,31,Not Applicable,Sunday,20,False
APP-047117,MBR-001721,2024-08-11 18:17:08,Badge Earned,Android,8,Not Applicable,Sunday,18,False
APP-012784,MBR-013016,2024-10-14 17:39:52,Diet Log Entry,iOS,92,Not Applicable,Monday,17,False
APP-050178,MBR-003291,2025-03-23 07:51:07,Workout Logged Manually,Android,112,Not Applicable,Sunday,7,False
APP-032250,MBR-007483,2025-10-05 22:36:03,Workout Logged Manually,Android,62,Not Applicable,Sunday,22,False
APP-053995,MBR-005418,2025-03-01 21:09:52,Diet Log Entry,Android,111,Not Applicable,Saturday,21,False
APP-040557,MBR-001588,2024-01-08 08:29:48,Streak Viewed,Android,147,Not Applicable,Monday,8,False
APP-037331,MBR-016903,2023-01-09 19:53:10,Streak Viewed,iOS,57,Not Applicable,Monday,19,False
APP-095696,MBR-010484,2024-11-10 08:10:42,Streak Viewed,Android,10,Not Applicable,Sunday,8,False
APP-015970,MBR-000452,2024-01-29 19:46:52,Reminder Snoozed,Android,5,Dismissed,Monday,19,False
APP-051548,MBR-010497,2025-08-25 09:28:08,Community/WhatsApp-style Group Post,iOS,287,Not Applicable,Monday,9,True
APP-006338,MBR-008842,2021-07-27 16:58:52,Workout Logged Manually,Android,36,Not Applicable,Tuesday,16,False
APP-090631,MBR-013697,2023-10-31 18:45:09,Streak Viewed,Android,30,Not Applicable,Tuesday,18,False
APP-025559,MBR-014399,2024-02-09 09:23:38,Reminder Snoozed,iOS,14,Dismissed,Friday,9,False
APP-047873,MBR-017076,2025-04-25 21:21:03,Reminder Snoozed,Android,24,Ignored,Friday,21,False
APP-031707,MBR-000046,2022-10-23 20:56:37,Push Notification Opened,Android,15,Ignored,Sunday,20,False
APP-050546,MBR-000730,2022-05-09 06:07:57,App Opened–No Action,iOS,11,Not Applicable,Monday,6,False
APP-095156,MBR-002650,2024-02-25 21:42:23,Referral Sent,iOS,9,Not Applicable,Sunday,21,False
APP-092052,MBR-000813,2022-06-02 17:31:53,Workout Logged Manually,Android,133,Not Applicable,Thursday,17,False
APP-040690,MBR-003924,2025-05-22 21:34:57,Referral Sent,Android,13,Not Applicable,Thursday,21,False
APP-055465,MBR-011731,2024-12-11 14:24:49,Reminder Snoozed,Android,5,Ignored,Wednesday,14,False
APP-046180,MBR-005251,2025-10-05 17:32:10,Workout Logged Manually,iOS,123,Not Applicable,Sunday,17,False
APP-035392,MBR-010126,2025-01-08 00:07:40,Badge Earned,Android,18,Not Applicable,Wednesday,0,False
APP-015676,MBR-007328,2025-07-29 19:55:53,Streak Viewed,Android,31,Not Applicable,Tuesday,19,False
APP-027823,MBR-002887,2023-01-31 22:36:06,Workout Logged Manually,Android,86,Not Applicable,Tuesday,22,False
APP-082439,MBR-001891,2023-03-10 19:48:12,Push Notification Opened,Android,12,Not Applicable,Friday,19,False
APP-043908,MBR-006538,2023-06-14 18:59:18,Diet Log Entry,Android,568,Not Applicable,Wednesday,18,True
APP-048516,MBR-015512,2023-10-06 20:49:16,Referral Sent,Android,126,Not Applicable,Friday,20,False
APP-027222,MBR-015342,2024-12-30 05:55:51,App Opened–No Action,Android,19,Not Applicable,Monday,5,False
APP-029536,MBR-013166,2022-01-01 08:48:33,Diet Log Entry,Android,133,Not Applicable,Saturday,8,False
APP-089900,MBR-010113,2024-12-29 18:49:58,Community/WhatsApp-style Group Post,iOS,68,Not Applicable,Sunday,18,False
APP-061936,MBR-012246,2024-02-09 09:53:07,Workout Logged Manually,Android,125,Not Applicable,Friday,9,False
APP-091572,MBR-011912,2022-08-11 10:09:19,Reminder Snoozed,iOS,12,Opened,Thursday,10,False
APP-022633,MBR-011164,2025-06-05 15:24:29,Push Notification Opened,Android,13,Opened,Thursday,15,False
APP-042121,MBR-008200,2025-05-23 05:18:23,Reminder Snoozed,Android,6,Ignored,Friday,5,False
APP-056359,MBR-006594,2025-09-07 01:44:08,Push Notification Opened,Android,7,Ignored,Sunday,1,False
APP-066828,MBR-004443,2025-10-03 21:48:32,Badge Earned,Android,21,Not Applicable,Friday,21,False
APP-024308,MBR-014093,2025-05-20 18:51:34,App Opened–No Action,iOS,10,Not Applicable,Tuesday,18,False
APP-038001,MBR-015874,2024-01-12 20:52:50,Streak Viewed,Android,14,Not Applicable,Friday,20,False
APP-066961,MBR-003812,2025-05-14 12:55:32,Referral Sent,iOS,37,Not Applicable,Wednesday,12,False
APP-023139,MBR-013474,2025-08-15 08:36:40,Referral Sent,Android,34,Not Applicable,Friday,8,False
APP-060530,MBR-015046,2024-05-12 21:14:42,Workout Logged Manually,Android,117,Not Applicable,Sunday,21,False
APP-075580,MBR-010989,2025-01-23 20:54:20,Push Notification Opened,Android,6,Dismissed,Thursday,20,False
APP-021661,MBR-017097,2025-07-16 19:31:36,Streak Viewed,iOS,8,Not Applicable,Wednesday,19,False
APP-051507,MBR-004204,2023-12-23 20:45:45,Push Notification Opened,Android,12,Ignored,Saturday,20,False
APP-010067,MBR-013880,2025-06-22 14:19:14,Reminder Snoozed,Android,12,Opened,Sunday,14,False
APP-084256,MBR-015823,2022-04-25 06:23:55,App Opened–No Action,Android,12,Not Applicable,Monday,6,False
APP-012597,MBR-011536,2024-10-15 00:45:00,App Opened–No Action,Android,9,Not Applicable,Tuesday,0,False
APP-077723,MBR-006010,2025-08-11 01:04:08,Community/WhatsApp-style Group Post,Android,69,Not Applicable,Monday,1,False
APP-031393,MBR-013098,2024-07-14 17:24:46,Badge Earned,Android,23,Not Applicable,Sunday,17,False
APP-091220,MBR-012527,2025-08-26 22:11:20,Streak Viewed,iOS,13,Not Applicable,Tuesday,22,False
APP-084489,MBR-014378,2024-03-21 14:28:51,Push Notification Opened,Android,10,Ignored,Thursday,14,False
APP-094664,MBR-000840,2023-10-28 05:32:10,Push Notification Opened,Android,7,Opened,Saturday,5,False
APP-089688,MBR-000983,2025-10-05 10:15:00,Push Notification Opened,Android,10,Opened,Sunday,10,False
APP-081216,MBR-002490,2024-04-04 16:51:28,Streak Viewed,Android,78,Not Applicable,Thursday,16,False
APP-068622,MBR-012270,2023-01-20 02:22:34,Streak Viewed,iOS,45,Not Applicable,Friday,2,False
APP-095945,MBR-001360,2025-09-20 23:57:19,Streak Viewed,iOS,32,Not Applicable,Saturday,23,False
APP-068799,MBR-014732,2022-01-26 20:21:35,Workout Logged Manually,Android,367,Not Applicable,Wednesday,20,True
APP-052042,MBR-009295,2025-06-25 20:26:35,Push Notification Opened,Android,3,Opened,Wednesday,20,False
APP-061516,MBR-007755,2023-03-04 05:01:15,Community/WhatsApp-style Group Post,Android,166,Not Applicable,Saturday,5,True
APP-088619,MBR-015465,2024-07-14 01:54:35,App Opened–No Action,iOS,7,Not Applicable,Sunday,1,False
APP-030874,MBR-014304,2025-10-04 09:16:39,Streak Viewed,Android,32,Not Applicable,Saturday,9,False
APP-007045,MBR-001754,2025-04-17 17:59:11,Streak Viewed,Android,31,Not Applicable,Thursday,17,False
APP-035396,MBR-010126,2024-09-23 12:06:33,Push Notification Opened,Android,3,Ignored,Monday,12,False
APP-003973,MBR-016931,2025-10-03 00:52:11,Reminder Snoozed,Android,3,Ignored,Friday,0,False
APP-022889,MBR-016572,2021-08-09 12:52:25,Diet Log Entry,Android,48,Not Applicable,Monday,12,False
APP-059857,MBR-005527,2023-06-12 00:00:00,Workout Logged Manually,iOS,173,Opened,Monday,0,True
APP-039404,MBR-002653,2025-09-27 19:56:33,Push Notification Opened,Android,9,Opened,Saturday,19,False
APP-075372,MBR-010671,2024-09-17 20:08:51,Streak Viewed,Android,48,Not Applicable,Tuesday,20,False
APP-025156,MBR-011488,2025-09-29 11:59:26,Reminder Snoozed,iOS,3,Opened,Monday,11,False
APP-049777,MBR-003815,2025-03-11 07:04:22,Push Notification Opened,Android,9,Ignored,Tuesday,7,False
APP-000889,MBR-013173,2022-04-09 07:19:35,Workout Logged Manually,iOS,40,Not Applicable,Saturday,7,False
APP-076543,MBR-012136,2024-05-30 19:56:31,Referral Sent,iOS,7,Not Applicable,Thursday,19,False
APP-006713,MBR-008088,2024-08-07 11:46:42,Streak Viewed,Android,919,Not Applicable,Wednesday,11,True
APP-002213,MBR-016268,2025-04-29 07:52:18,Streak Viewed,Android,50,Not Applicable,Tuesday,7,False
APP-019003,MBR-010226,2025-04-11 20:38:36,App Opened–No Action,Android,3,Not Applicable,Friday,20,False
APP-094382,MBR-005734,2025-01-11 00:58:27,Push Notification Opened,Android,11,Ignored,Saturday,0,False
APP-027185,MBR-006906,2023-03-19 05:51:19,Push Notification Opened,Android,12,Opened,Sunday,5,False
APP-081021,MBR-008344,2024-11-18 07:12:03,Streak Viewed,Android,9,Not Applicable,Monday,7,False
APP-001198,MBR-001185,2024-12-08 21:23:26,Referral Sent,Android,66,Not Applicable,Sunday,21,False
APP-083012,MBR-010875,2024-11-11 20:57:28,Referral Sent,Android,45,Not Applicable,Monday,20,False
APP-077392,MBR-003787,2025-05-27 08:19:25,Streak Viewed,iOS,15,Not Applicable,Tuesday,8,False
APP-048542,MBR-007698,2024-01-29 09:07:53,App Opened–No Action,Android,20,Opened,Monday,9,False
APP-022103,MBR-015781,2025-10-03 06:12:57,App Opened–No Action,Android,15,Not Applicable,Friday,6,False
APP-059362,MBR-005491,2023-03-22 08:54:47,Push Notification Opened,Android,3,Dismissed,Wednesday,8,False
APP-048396,MBR-000778,2022-03-30 16:56:52,Diet Log Entry,iOS,54,Not Applicable,Wednesday,16,False
APP-023310,MBR-002695,2023-06-03 07:19:42,Streak Viewed,Android,53,Not Applicable,Saturday,7,False
APP-003769,MBR-011679,2024-07-24 13:40:39,Diet Log Entry,Android,69,Not Applicable,Wednesday,13,False
APP-096865,MBR-002625,2022-01-19 02:42:37,Push Notification Opened,Android,8,Ignored,Wednesday,2,False
APP-086064,MBR-016127,2023-05-26 17:17:56,Referral Sent,Android,47,Not Applicable,Friday,17,False
APP-033042,MBR-006919,2024-01-04 23:12:31,Diet Log Entry,Android,111,Not Applicable,Thursday,23,False
APP-059505,MBR-010208,2022-09-20 22:53:11,App Opened–No Action,Android,6,Not Applicable,Tuesday,22,False
APP-021014,MBR-017340,2024-04-28 09:09:10,Diet Log Entry,Android,94,Not Applicable,Sunday,9,False
APP-054543,MBR-003525,2025-02-06 22:30:47,Diet Log Entry,Android,138,Ignored,Thursday,22,False
APP-043554,MBR-004007,2023-07-20 11:19:19,Workout Logged Manually,Android,15,Not Applicable,Thursday,11,False
APP-095044,MBR-012238,2023-09-12 17:56:58,Streak Viewed,Android,13,Not Applicable,Tuesday,17,False
APP-043516,MBR-007841,2024-05-01 22:03:50,Diet Log Entry,Android,49,Not Applicable,Wednesday,22,False
APP-059256,MBR-000464,2022-11-02 08:32:56,Push Notification Opened,Android,24,Opened,Wednesday,8,False
APP-029910,MBR-010546,2021-07-20 15:57:50,Reminder Snoozed,Android,4,Dismissed,Tuesday,15,False
APP-000187,MBR-003581,2023-05-23 21:11:14,Streak Viewed,Android,23,Not Applicable,Tuesday,21,False
APP-092183,MBR-012880,2024-11-12 20:35:42,Badge Earned,Android,26,Not Applicable,Tuesday,20,False
APP-034055,MBR-015780,2024-04-26 06:15:00,App Opened–No Action,iOS,89,Not Applicable,Friday,6,False
APP-055799,MBR-010909,2023-02-14 06:27:40,Diet Log Entry,iOS,78,Not Applicable,Tuesday,6,False
APP-001039,MBR-001300,2025-04-28 19:26:49,Reminder Snoozed,Android,15,Dismissed,Monday,19,False
APP-050387,MBR-015325,2023-12-08 06:58:19,Badge Earned,Android,35,Not Applicable,Friday,6,False
APP-014060,MBR-005931,2024-10-20 10:26:25,Streak Viewed,Android,47,Not Applicable,Sunday,10,False
APP-058991,MBR-002439,2025-01-27 01:31:45,Badge Earned,iOS,20,Not Applicable,Monday,1,False
APP-062048,MBR-007901,2025-10-02 14:24:22,Badge Earned,iOS,20,Not Applicable,Thursday,14,False
APP-096823,MBR-015627,2024-05-29 17:39:57,Reminder Snoozed,Android,5,Opened,Wednesday,17,False
APP-028965,MBR-002823,2022-05-03 09:43:48,Diet Log Entry,Android,173,Not Applicable,Tuesday,9,True
APP-034859,MBR-012526,2024-06-14 06:03:45,Streak Viewed,Android,49,Not Applicable,Friday,6,False
APP-046833,MBR-005288,2023-09-19 22:49:51,App Opened–No Action,iOS,7,Not Applicable,Tuesday,22,False
APP-077063,MBR-014749,2023-10-20 17:50:09,App Opened–No Action,Android,5,Not Applicable,Friday,17,False
APP-037211,MBR-001280,2023-06-10 07:13:37,Diet Log Entry,Android,87,Not Applicable,Saturday,7,False
APP-018184,MBR-002533,2025-10-03 06:12:50,Community/WhatsApp-style Group Post,Android,76,Not Applicable,Friday,6,False
APP-029334,MBR-010369,2025-03-05 06:24:47,App Opened–No Action,Android,7,Not Applicable,Wednesday,6,False
APP-080837,MBR-003454,2024-08-19 00:54:10,Community/WhatsApp-style Group Post,Android,95,Not Applicable,Monday,0,False
APP-051245,MBR-016065,2025-01-26 10:39:22,Streak Viewed,iOS,37,Not Applicable,Sunday,10,False
APP-047803,MBR-004900,2024-01-14 07:14:04,Streak Viewed,Android,29,Not Applicable,Sunday,7,False
APP-076564,MBR-003745,2024-01-08 07:49:23,Push Notification Opened,Android,11,Ignored,Monday,7,False
APP-017279,MBR-015059,2025-10-04 07:43:42,Push Notification Opened,Android,5,Opened,Saturday,7,False
APP-072523,MBR-005624,2022-12-29 08:46:56,Badge Earned,iOS,22,Not Applicable,Thursday,8,False
APP-073939,MBR-003715,2025-09-30 17:05:48,Streak Viewed,Android,67,Not Applicable,Tuesday,17,False
APP-054482,MBR-003547,2025-05-17 09:09:33,Badge Earned,Android,60,Not Applicable,Saturday,9,False
APP-016158,MBR-006349,2022-02-09 05:28:49,Badge Earned,Android,58,Not Applicable,Wednesday,5,False
APP-074712,MBR-011992,2025-09-29 18:40:17,Streak Viewed,Android,21,Not Applicable,Monday,18,False
APP-017697,MBR-008624,2024-05-03 21:29:56,App Opened–No Action,Android,14,Not Applicable,Friday,21,False
APP-079813,MBR-010583,2023-10-13 18:27:35,App Opened–No Action,Android,9,Not Applicable,Friday,18,False
APP-068614,MBR-012270,2024-07-27 18:45:48,App Opened–No Action,iOS,13,Not Applicable,Saturday,18,False
APP-056479,MBR-012798,2025-07-16 13:20:16,Streak Viewed,Android,7,Not Applicable,Wednesday,13,False
APP-030011,MBR-002152,2025-05-16 08:38:11,Diet Log Entry,iOS,166,Not Applicable,Friday,8,True
APP-062990,MBR-008597,2024-10-24 06:14:58,Streak Viewed,Android,22,Not Applicable,Thursday,6,False
APP-032564,MBR-015722,2024-07-03 05:24:07,Streak Viewed,Android,7,Not Applicable,Wednesday,5,False
APP-026667,MBR-013480,2025-03-25 06:45:18,Push Notification Opened,iOS,59,Ignored,Tuesday,6,False
APP-066442,MBR-005234,2023-11-04 07:09:44,Streak Viewed,Android,45,Not Applicable,Saturday,7,False
APP-068490,MBR-006181,2025-03-30 09:58:47,Reminder Snoozed,Android,5,Dismissed,Sunday,9,False
APP-094955,MBR-004840,2024-03-22 17:16:49,Workout Logged Manually,Android,107,Not Applicable,Friday,17,False
APP-067383,MBR-016377,2024-12-08 08:11:56,Push Notification Opened,Android,9,Dismissed,Sunday,8,False
APP-024531,MBR-001782,2024-04-17 23:32:34,App Opened–No Action,iOS,3,Not Applicable,Wednesday,23,False
APP-071950,MBR-013794,2025-10-01 06:53:20,App Opened–No Action,iOS,9,Not Applicable,Wednesday,6,False
APP-031977,MBR-001874,2022-02-14 18:20:40,Community/WhatsApp-style Group Post,iOS,35,Not Applicable,Monday,18,False
APP-019891,MBR-013857,2023-10-31 05:19:29,Streak Viewed,iOS,45,Not Applicable,Tuesday,5,False
APP-097439,MBR-007685,2025-01-26 06:34:09,Badge Earned,Android,19,Not Applicable,Sunday,6,False
