renewal_id,member_id,plan_type,billing_cycle_start,billing_cycle_end,amount_paid_inr,payment_method,discount_applied,discount_pct,renewal_status,days_before_expiry_renewed,renewal_channel,corporate_tie_up_flag
REN-017152,MBR-006671,Monthly,2022-07-02,2022-08-01,4950,UPI,False,0,Renewed,1,Front Desk,True
REN-010898,MBR-004210,Half-Yearly,2025-02-15,2025-08-16,5940,UPI,True,10,Renewed,5,Front Desk,False
REN-019627,MBR-007612,Monthly,2025-09-26,2025-10-26,2170,UPI,False,0,Lapsed,11,App,False
REN-004811,MBR-001899,Monthly,2025-05-20,2025-06-19,3590,Credit Card,True,25,Renewed,7,App,True
REN-041639,MBR-016139,Monthly,2026-02-01,2026-03-03,2660,UPI,False,0,Renewed,20,Front Desk,False
REN-021470,MBR-008348,Quarterly,2024-12-09,2025-03-10,6560,Debit Card,False,0,Renewed,15,App,False
REN-012379,MBR-004770,Half-Yearly,2025-01-13,2025-07-14,17330,UPI,True,20,Renewed,-9,App,False
REN-018371,MBR-007142,Monthly,2026-01-06,2026-02-05,4310,Debit Card,False,0,Renewed,27,App,False
REN-040457,MBR-015680,Half-Yearly,2024-06-24,2024-12-23,9130,Credit Card,False,0,Renewed,11,App,True
REN-012809,MBR-004951,Half-Yearly,2023-09-11,2024-03-11,25800,Net Banking,False,0,Renewed,7,App,False
REN-010196,MBR-003959,Monthly,2022-03-11,2022-04-10,2210,Net Banking,False,0,Auto-Renew Failed,-8,Phone Call from Staff,False
REN-009622,MBR-003730,Half-Yearly,2024-12-22,2025-06-22,25510,Cash,False,0,Renewed,6,App,False
REN-013450,MBR-005205,Quarterly,2023-01-26,2023-04-27,16140,UPI,True,20,Renewed,2,Front Desk,True
REN-017856,MBR-006945,Quarterly,2025-03-07,2025-06-06,8490,UPI,True,25,Upgraded,11,App,True
REN-033136,MBR-012872,Monthly,2023-11-02,2023-12-02,1660,UPI,True,10,Renewed,-1,App,True
REN-003765,MBR-001472,Monthly,2021-01-21,2021-02-20,2730,UPI,True,5,Renewed,-7,App,False
REN-037428,MBR-014514,Quarterly,2025-03-07,2025-06-06,7960,Debit Card,True,10,Renewed,6,App,True
REN-037810,MBR-014652,Half-Yearly,2022-02-13,2022-08-14,16620,Net Banking,False,0,Renewed,-9,Phone Call from Staff,False
REN-030192,MBR-011731,Quarterly,2022-11-09,2023-02-08,3230,UPI,False,0,Renewed,0,App,False
REN-032873,MBR-012776,Monthly,2022-03-07,2022-04-06,2850,Credit Card,False,0,Renewed,1,App,False
REN-014395,MBR-005544,Monthly,2025-02-13,2025-03-15,1050,Debit Card,False,0,Downgraded,7,App,False
REN-012937,MBR-005003,Monthly,2021-04-26,2021-05-26,4180,UPI,True,5,Renewed,-10,Phone Call from Staff,False
REN-036503,MBR-014171,Monthly,2025-01-19,2025-02-08,3910,UPI,False,0,Renewed,3,App,False
REN-037794,MBR-014649,Monthly,2023-06-09,2023-07-09,3200,Debit Card,False,0,Renewed,0,Front Desk,False
REN-020876,MBR-008131,Quarterly,2022-08-09,2022-11-08,9520,Cash,False,0,Renewed,8,Front Desk,True
REN-039435,MBR-015307,Monthly,2023-07-10,2023-08-09,1350,Cash,True,20,Renewed,15,App,False
REN-027742,MBR-010748,Monthly,2025-03-09,2025-04-08,1430,UPI,False,0,Renewed,1,Front Desk,False
REN-024696,MBR-009607,Quarterly,2025-06-02,2025-09-01,2830,UPI,False,0,Renewed,4,Front Desk,False
REN-029034,MBR-011268,Half-Yearly,2024-08-04,2025-02-02,12910,UPI,True,25,Lapsed,0,App,False
REN-023995,MBR-009332,Monthly,2024-12-05,2025-01-04,9950,UPI,False,0,Renewed,-9,App,False
REN-032765,MBR-012732,Monthly,2021-07-14,2021-08-13,1330,UPI,False,0,Renewed,1,App,False
REN-004161,MBR-001637,Monthly,2022-12-01,2022-12-31,1730,Net Banking,False,0,Renewed,-4,App,False
REN-005652,MBR-002248,Annual,2025-05-16,2026-05-16,49180,Credit Card,False,0,Renewed,2,Phone Call from Staff,False
REN-027162,MBR-010541,Quarterly,2022-04-02,2022-07-02,2490,UPI,False,0,Renewed,8,App,False
REN-023243,MBR-009052,Monthly,2025-12-05,2026-01-04,2380,Debit Card,False,0,Renewed,3,Phone Call from Staff,True
REN-000886,MBR-000335,Monthly,2022-08-25,2022-09-24,2550,Debit Card,True,15,Renewed,11,App,False
REN-028518,MBR-011051,Monthly,2022-02-24,2022-03-26,2390,Credit Card,True,10,Renewed,6,Front Desk,False
REN-006877,MBR-002688,Quarterly,2021-09-14,2021-12-14,7690,Credit Card,False,0,Renewed,-3,App,False
REN-018754,MBR-007277,Half-Yearly,2026-07-18,2027-01-16,42920,UPI,False,0,Renewed,6,App,False
REN-003626,MBR-001422,Monthly,2024-06-18,2024-07-18,3900,UPI,False,0,Downgraded,-3,App,False
REN-010638,MBR-004127,Monthly,2024-05-10,2024-06-09,2480,UPI,False,0,Renewed,14,App,True
REN-022272,MBR-008666,Monthly,2023-11-03,2023-12-03,2210,UPI,True,25,Renewed,21,App,False
REN-029548,MBR-011485,Quarterly,2025-01-21,2025-04-22,7660,UPI,True,20,Downgraded,0,App,True
REN-001483,MBR-000597,Annual,2025-03-11,2026-03-11,11660,Debit Card,True,10,Upgraded,-8,App,True
REN-000393,MBR-000148,Annual,2022-04-21,2023-04-21,21670,Credit Card,True,10,Upgraded,7,Front Desk,False
REN-013409,MBR-005185,Monthly,2021-04-16,2021-05-16,2400,Credit Card,True,10,Renewed,2,App,False
REN-003975,MBR-001555,Half-Yearly,2024-11-02,2025-05-03,26240,UPI,False,0,Renewed,9,Front Desk,False
REN-010683,MBR-004140,Monthly,2025-02-27,2025-03-29,5560,UPI,False,0,Renewed,0,Front Desk,True
REN-012491,MBR-004826,Monthly,2023-04-13,2023-05-13,3390,UPI,False,0,Renewed,17,Front Desk,False
REN-035452,MBR-013783,Monthly,2024-02-08,2024-03-09,2900,Debit Card,False,0,Downgraded,-6,Front Desk,False
REN-000422,MBR-000163,Monthly,2025-05-25,2025-06-24,1610,UPI,True,20,Renewed,9,App,False
REN-044087,MBR-017080,Quarterly,2024-11-03,2025-02-02,6870,UPI,True,10,Renewed,4,App,True
REN-021720,MBR-008449,Monthly,2024-12-21,2025-01-20,4160,UPI,True,15,Renewed,10,App,False
REN-041872,MBR-016225,Quarterly,2024-05-04,2024-08-03,14560,UPI,False,0,Renewed,5,Phone Call from Staff,False
REN-017174,MBR-006678,Monthly,2023-08-22,2023-09-21,4270,Cash,False,0,Renewed,-9,Phone Call from Staff,False
REN-006210,MBR-002445,Monthly,2022-08-09,2022-09-08,1420,Net Banking,True,25,Downgraded,-16,App,False
REN-017629,MBR-006849,Monthly,2023-11-12,2023-12-12,1290,Cash,True,20,Downgraded,29,Front Desk,False
REN-017371,MBR-006765,Quarterly,2023-01-06,2023-04-07,4720,Debit Card,False,0,Renewed,0,App,False
REN-024560,MBR-009550,Monthly,2022-12-21,2023-01-20,2260,Credit Card,False,0,Renewed,4,Front Desk,False
REN-022190,MBR-008628,Monthly,2024-08-25,2024-09-24,3730,Net Banking,False,0,Renewed,13,Phone Call from Staff,False
REN-002997,MBR-001163,Half-Yearly,2024-05-15,2024-11-13,12430,UPI,False,0,Renewed,25,Front Desk,False
REN-042487,MBR-016467,Monthly,2025-12-28,2026-01-27,3130,Credit Card,False,0,Renewed,-4,App,True
REN-013967,MBR-005403,Half-Yearly,2025-06-17,2025-12-16,17190,UPI,False,0,Renewed,-7,App,False
REN-007449,MBR-002885,Quarterly,2025-12-04,2026-03-05,11960,Debit Card,False,0,Renewed,4,App,True
REN-000450,MBR-000174,Monthly,2024-02-15,2024-03-16,2310,UPI,False,0,Lapsed,2,App,False
REN-021109,MBR-008208,Monthly,2021-07-18,2021-08-17,5330,UPI,False,0,Renewed,1,Front Desk,True
REN-014789,MBR-005713,Monthly,2025-11-27,2025-12-27,3070,Credit Card,True,5,Renewed,13,Front Desk,True
REN-014261,MBR-005493,Quarterly,2025-08-09,2025-11-08,21170,UPI,False,0,Auto-Renew Failed,9,Phone Call from Staff,True
REN-025547,MBR-009930,Monthly,2023-09-08,2023-10-08,2860,UPI,False,0,Renewed,11,App,True
REN-001545,MBR-000622,Half-Yearly,2023-06-28,2023-12-27,32040,Cash,False,0,Renewed,2,App,True
REN-025808,MBR-010032,Half-Yearly,2025-03-22,2025-09-20,35450,UPI,True,20,Renewed,18,App,False
REN-040058,MBR-015533,Monthly,2021-01-16,2021-02-15,3770,UPI,True,5,Downgraded,7,App,False
REN-023356,MBR-009079,Quarterly,2025-01-27,2025-04-28,15860,UPI,True,5,Lapsed,12,App,False
REN-035137,MBR-013656,Monthly,2023-12-10,2024-01-09,4090,Credit Card,True,10,Renewed,-5,App,False
REN-007257,MBR-002824,Monthly,2025-08-21,2025-09-20,2860,UPI,False,0,Lapsed,8,App,False
REN-030310,MBR-011779,Monthly,2022-12-09,2023-01-08,3460,Debit Card,False,0,Renewed,12,App,False
REN-016731,MBR-006484,Monthly,2025-11-08,2025-12-08,1680,UPI,True,10,Renewed,12,Front Desk,False
REN-014733,MBR-005695,Monthly,2025-08-10,2025-09-09,3690,Cash,True,5,Renewed,0,App,True
REN-035070,MBR-013626,Monthly,2022-09-01,2022-10-01,6850,UPI,False,0,Renewed,8,App,True
REN-011024,MBR-004258,Monthly,2023-04-18,2023-05-18,2590,UPI,True,15,Downgraded,6,App,False
REN-035830,MBR-013918,Quarterly,2024-05-28,2024-08-27,8380,Net Banking,False,0,Renewed,1,Front Desk,False
REN-026056,MBR-010118,Monthly,2024-01-22,2024-02-21,5970,UPI,True,15,Renewed,8,App,False
REN-042026,MBR-016287,Annual,2024-10-01,2025-10-01,11370,UPI,True,5,Lapsed,2,App,True
REN-029294,MBR-011368,Monthly,2024-07-11,2024-08-10,3860,Debit Card,False,0,Auto-Renew Failed,-2,Front Desk,False
REN-028709,MBR-011132,Annual,2024-10-11,2025-10-11,13200,UPI,True,5,Lapsed,-8,App,False
REN-028997,MBR-011256,Monthly,2024-05-13,2024-06-12,1210,UPI,True,20,Renewed,7,Front Desk,False
REN-019429,MBR-007528,Monthly,2024-06-11,2024-07-11,3080,UPI,True,40,Renewed,20,App,False
REN-003344,MBR-001292,Monthly,2024-05-30,2024-06-29,3030,UPI,False,0,Renewed,-1,Front Desk,True
REN-044302,MBR-017165,Annual,2023-12-09,2024-12-08,46240,UPI,True,10,Renewed,3,App,False
REN-022174,MBR-008620,Quarterly,2021-11-12,2022-02-11,7990,UPI,True,10,Renewed,6,App,False
REN-000176,MBR-000068,Monthly,2022-08-11,2022-09-10,2140,UPI,False,0,Renewed,0,Phone Call from Staff,True
REN-022790,MBR-008881,Half-Yearly,2021-11-04,2022-05-05,9860,Net Banking,True,25,Upgraded,11,App,True
REN-016225,MBR-006278,Half-Yearly,2025-06-27,2025-12-26,9080,UPI,False,0,Renewed,-2,Front Desk,False
REN-012018,MBR-004622,Monthly,2021-04-05,2021-05-05,720,UPI,False,0,Downgraded,10,Front Desk,False
REN-009916,MBR-003847,Quarterly,2025-05-12,2025-08-11,7410,Debit Card,False,0,Upgraded,-4,App,False
REN-008571,MBR-003324,Half-Yearly,2022-08-30,2023-02-28,15930,UPI,False,0,Renewed,14,Front Desk,False
REN-037918,MBR-014699,Annual,2023-04-22,2024-04-21,36280,UPI,True,25,Renewed,8,App,True
REN-032114,MBR-012473,Quarterly,2022-12-22,2023-03-23,13680,UPI,False,0,Renewed,6,App,False
REN-036692,MBR-014233,Monthly,2025-07-06,2025-08-05,3290,UPI,False,0,Renewed,-5,App,True
REN-040333,MBR-015629,Half-Yearly,2024-12-15,2025-06-15,12360,Cash,False,0,Renewed,-6,App,False
REN-022688,MBR-008840,Monthly,2025-06-10,2025-07-10,9690,Credit Card,False,0,Renewed,6,App,False
REN-004008,MBR-001572,Annual,2024-10-12,2025-10-12,31590,UPI,True,5,Renewed,10,App,False
REN-023043,MBR-008979,Monthly,2023-03-19,2023-04-18,3970,Credit Card,True,30,Renewed,8,Front Desk,False
REN-018728,MBR-007270,Quarterly,2025-02-15,2025-05-17,16640,UPI,False,0,Renewed,-1,App,False
REN-030542,MBR-011869,Quarterly,2022-07-15,2022-10-14,8320,Net Banking,False,0,Renewed,7,App,False
REN-039421,MBR-015303,Monthly,2022-05-10,2022-06-09,1620,UPI,False,0,Renewed,3,App,False
REN-028245,MBR-010954,Quarterly,2024-12-21,2025-03-22,9630,UPI,False,0,Renewed,10,App,False
REN-008940,MBR-003478,Quarterly,2023-02-02,2023-05-04,6730,Credit Card,False,0,Renewed,0,Front Desk,True
REN-014063,MBR-005437,Monthly,2025-02-25,2025-03-27,3490,UPI,False,0,Renewed,6,App,False
REN-039785,MBR-015435,Monthly,2026-05-13,2026-06-12,1750,UPI,False,0,Renewed,6,Front Desk,True
REN-039285,MBR-015243,Quarterly,2025-09-11,2025-12-11,6900,UPI,True,15,Auto-Renew Failed,-3,Front Desk,True
REN-038126,MBR-014790,Monthly,2021-05-04,2021-06-03,3670,UPI,False,0,Renewed,3,App,False
REN-014243,MBR-005490,Quarterly,2025-12-12,2026-03-13,12300,UPI,True,5,Renewed,-2,Front Desk,False
REN-026377,MBR-010234,Monthly,2023-02-02,2023-03-04,3770,Debit Card,False,0,Renewed,0,App,True
REN-019452,MBR-007543,Monthly,2025-03-27,2025-04-26,1160,Credit Card,False,0,Renewed,-2,App,False
REN-028197,MBR-010929,Half-Yearly,2025-08-01,2026-01-30,12130,UPI,True,10,Upgraded,-3,App,False
REN-033203,MBR-012899,Monthly,2024-04-23,2024-05-23,8310,UPI,False,0,Renewed,-2,Front Desk,True
REN-017347,MBR-006756,Monthly,2022-05-10,2022-06-09,3850,UPI,True,10,Renewed,17,App,True
REN-037443,MBR-014519,Monthly,2025-06-20,2025-07-20,6680,UPI,False,0,Renewed,0,Front Desk,True
REN-014860,MBR-005738,Monthly,2024-04-11,2024-05-11,2640,UPI,False,0,Renewed,7,Front Desk,False
REN-001581,MBR-000640,Monthly,2024-11-18,2024-12-18,1610,Credit Card,False,0,Downgraded,8,App,False
REN-025981,MBR-010091,Monthly,2023-03-12,2023-04-11,3310,UPI,True,10,Renewed,3,Phone Call from Staff,False
REN-004859,MBR-001920,Monthly,2026-01-17,2026-02-16,4610,UPI,False,0,Renewed,8,App,False
REN-008899,MBR-003461,Monthly,2025-06-05,2025-07-05,2720,Credit Card,False,0,Renewed,0,App,False
REN-033790,MBR-013142,Quarterly,2021-03-09,2021-06-08,7790,Credit Card,False,0,Auto-Renew Failed,15,App,True
REN-000742,MBR-000273,Monthly,2024-09-02,2024-10-02,4540,Credit Card,False,0,Renewed,-4,Phone Call from Staff,False
REN-031150,MBR-012113,Monthly,2026-05-05,2026-06-04,3220,UPI,False,0,Renewed,-1,Front Desk,False
REN-042562,MBR-016503,Quarterly,2024-09-08,2024-12-08,26580,UPI,False,0,Renewed,12,Phone Call from Staff,True
REN-045060,MBR-017488,Quarterly,2024-04-05,2024-07-05,7290,UPI,False,0,Renewed,1,Front Desk,False
REN-039526,MBR-015341,Monthly,2024-12-22,2025-01-21,3360,UPI,False,0,Renewed,8,App,False
REN-032798,MBR-012747,Monthly,2023-08-15,2023-09-14,1630,Net Banking,False,0,Lapsed,4,Front Desk,False
REN-033523,MBR-013034,Quarterly,2024-10-01,2024-12-31,8010,UPI,False,0,Renewed,5,Front Desk,False
REN-025850,MBR-010042,Monthly,2023-01-15,2023-02-14,2790,UPI,False,0,Renewed,11,App,True
REN-042095,MBR-016316,Quarterly,2021-06-13,2021-09-12,9380,UPI,True,20,Renewed,-1,Phone Call from Staff,False
REN-018923,MBR-007338,Monthly,2025-05-08,2025-06-07,2030,UPI,False,0,Renewed,-9,Front Desk,False
REN-033379,MBR-012971,Monthly,2023-03-11,2023-04-10,3110,UPI,False,0,Renewed,14,Phone Call from Staff,False
REN-032481,MBR-012624,Monthly,2023-07-04,2023-08-03,3420,UPI,False,0,Auto-Renew Failed,1,App,True
REN-031131,MBR-012107,Annual,2023-04-26,2024-04-25,24470,Credit Card,False,0,Upgraded,4,Front Desk,False
REN-020188,MBR-007836,Monthly,2025-01-10,2025-02-09,2930,Credit Card,False,0,Auto-Renew Failed,0,App,False
REN-034808,MBR-013518,Quarterly,2023-11-20,2024-02-19,6150,Net Banking,True,15,Renewed,25,App,False
REN-042317,MBR-016404,Monthly,2022-06-06,2022-07-06,3960,UPI,False,0,Renewed,0,App,False
REN-034067,MBR-013270,Quarterly,2025-02-16,2025-05-18,23790,UPI,False,0,Renewed,8,Front Desk,False
REN-036667,MBR-014227,Monthly,2026-03-21,2026-04-20,4310,Credit Card,False,0,Renewed,3,Front Desk,True
REN-029531,MBR-011479,Monthly,2023-02-28,2023-03-30,1890,UPI,True,20,Renewed,0,App,False
REN-000350,MBR-000133,Annual,2024-02-16,2025-02-15,14190,UPI,False,0,Upgraded,4,App,False
REN-000104,MBR-000035,Quarterly,2021-08-05,2021-11-04,18030,Credit Card,True,15,Renewed,0,Front Desk,False
REN-005719,MBR-002266,Monthly,2023-05-28,2023-06-27,3380,UPI,False,0,Renewed,7,App,False
REN-009991,MBR-003877,Half-Yearly,2024-11-09,2025-05-10,21020,Credit Card,False,0,Renewed,14,App,False
REN-008295,MBR-003214,Half-Yearly,2025-01-03,2025-07-04,9110,UPI,False,0,Lapsed,7,App,False
REN-023748,MBR-009236,Annual,2025-02-10,2026-02-10,24520,Cash,False,0,Renewed,8,App,False
REN-004153,MBR-001633,Monthly,2024-04-24,2024-05-24,6210,Debit Card,True,10,Lapsed,-2,Front Desk,False
REN-041817,MBR-016199,Half-Yearly,2025-03-04,2025-09-02,30040,Cash,False,0,Renewed,5,Front Desk,True
REN-013845,MBR-005354,Monthly,2024-02-12,2024-03-13,1900,UPI,False,0,Renewed,14,Front Desk,False
REN-004282,MBR-001685,Monthly,2023-03-21,2023-04-20,4480,UPI,False,0,Renewed,-4,App,False
REN-040676,MBR-015761,Half-Yearly,2022-03-24,2022-09-22,43610,UPI,False,0,Renewed,-4,App,False
REN-003154,MBR-001223,Half-Yearly,2023-12-19,2024-06-18,4950,UPI,False,0,Lapsed,4,App,False
REN-013555,MBR-005245,Monthly,2023-01-18,2023-02-17,3040,Debit Card,True,5,Lapsed,2,Phone Call from Staff,True
REN-021826,MBR-008494,Monthly,2023-10-17,2023-11-16,1960,Cash,True,5,Renewed,-4,Front Desk,False
REN-041778,MBR-016194,Monthly,2022-10-08,2022-11-07,6220,UPI,False,0,Lapsed,-4,App,False
REN-014509,MBR-005602,Annual,2023-01-02,2024-01-02,40520,Debit Card,True,5,Renewed,12,App,False
REN-014958,MBR-005769,Monthly,2023-04-28,2023-05-28,2420,UPI,True,10,Renewed,7,App,True
REN-015805,MBR-006108,Monthly,2023-06-08,2023-07-08,4840,Debit Card,False,0,Renewed,2,Phone Call from Staff,True
REN-001160,MBR-000459,Monthly,2021-07-07,2021-08-06,3800,Debit Card,False,0,Auto-Renew Failed,-1,App,False
REN-002981,MBR-001156,Monthly,2023-05-20,2023-06-19,8830,UPI,False,0,Lapsed,5,App,False
REN-017459,MBR-006786,Monthly,2026-06-06,2026-07-06,1560,UPI,False,0,Renewed,0,App,True
REN-008957,MBR-003481,Half-Yearly,2026-03-30,2026-09-28,14830,Credit Card,False,0,Renewed,8,Front Desk,False
REN-022086,MBR-008587,Half-Yearly,2024-01-18,2024-07-18,43630,Debit Card,False,0,Renewed,9,App,False
REN-005857,MBR-002310,Monthly,2025-03-27,2025-04-26,4550,UPI,False,0,Renewed,0,App,False
REN-037025,MBR-014360,Monthly,2023-07-11,2023-08-10,6980,UPI,False,0,Renewed,-4,Front Desk,False
REN-025517,MBR-009914,Half-Yearly,2026-06-20,2026-12-19,20430,UPI,False,0,Downgraded,8,App,True
REN-031371,MBR-012202,Quarterly,2024-01-11,2024-04-11,8840,Debit Card,True,5,Renewed,2,App,False
REN-024695,MBR-009606,Monthly,2023-10-12,2023-11-11,920,Debit Card,True,5,Renewed,4,App,False
REN-025894,MBR-010062,Monthly,2023-01-06,2023-02-05,2950,UPI,True,5,Renewed,-2,App,False
REN-021536,MBR-008378,Monthly,2021-07-13,2021-08-12,2810,UPI,False,0,Renewed,7,Phone Call from Staff,False
REN-035174,MBR-013670,Monthly,2025-08-15,2025-09-14,4890,UPI,False,0,Renewed,-3,App,False
REN-025255,MBR-009820,Monthly,2022-04-13,2022-05-13,5740,Credit Card,False,0,Renewed,7,App,True
REN-015614,MBR-006042,Quarterly,2025-06-27,2025-09-26,14880,UPI,False,0,Renewed,9,Phone Call from Staff,False
REN-030226,MBR-011745,Monthly,2021-07-28,2021-08-27,1180,UPI,True,20,Lapsed,19,Front Desk,False
REN-013601,MBR-005260,Annual,2025-06-23,2026-06-23,22540,UPI,True,10,Upgraded,6,Phone Call from Staff,False
REN-019680,MBR-007640,Monthly,2021-02-25,2021-03-27,1790,Credit Card,False,0,Renewed,6,Front Desk,False
REN-020788,MBR-008090,Monthly,2024-02-26,2024-03-27,2580,UPI,False,0,Renewed,10,Phone Call from Staff,False
REN-040484,MBR-015688,Monthly,2022-08-23,2022-09-22,1960,UPI,False,0,Renewed,-12,Front Desk,False
REN-016473,MBR-006376,Half-Yearly,2024-01-28,2024-07-28,26850,Net Banking,False,0,Renewed,23,App,False
REN-013074,MBR-005052,Quarterly,2023-05-13,2023-08-12,11990,UPI,False,0,Renewed,-2,Phone Call from Staff,False
REN-008842,MBR-003439,Half-Yearly,2025-02-19,2025-08-20,15970,UPI,False,0,Renewed,16,App,False
REN-031264,MBR-012156,Monthly,2023-04-08,2023-05-08,2900,UPI,False,0,Renewed,12,App,False
REN-005145,MBR-002043,Quarterly,2023-10-21,2024-01-20,4890,Credit Card,True,20,Upgraded,-5,Phone Call from Staff,False
REN-022908,MBR-008921,Monthly,2022-06-29,2022-07-29,870,UPI,False,0,Renewed,0,Phone Call from Staff,True
REN-026304,MBR-010204,Monthly,2023-04-08,2023-05-08,3500,Debit Card,False,0,Renewed,14,Phone Call from Staff,False
REN-005188,MBR-002057,Quarterly,2025-01-06,2025-04-07,11980,Net Banking,False,0,Renewed,3,App,False
REN-031997,MBR-012427,Monthly,2024-09-15,2024-10-15,5140,UPI,False,0,Renewed,0,Phone Call from Staff,False
REN-042798,MBR-016583,Quarterly,2023-03-21,2023-06-20,7090,UPI,False,0,Lapsed,1,App,False
REN-012976,MBR-005015,Quarterly,2025-06-30,2025-09-29,6700,UPI,False,0,Renewed,2,App,True
REN-025445,MBR-009883,Monthly,2022-01-08,2022-02-07,5820,Net Banking,False,0,Renewed,0,App,False
REN-037278,MBR-014451,Monthly,2023-01-25,2023-02-24,3900,UPI,True,15,Renewed,10,App,False
REN-028147,MBR-010908,Monthly,2023-04-25,2023-05-25,5090,Debit Card,False,0,Auto-Renew Failed,3,App,False
REN-033326,MBR-012943,Quarterly,2021-08-19,2021-11-18,17830,UPI,False,0,Renewed,1,App,False
REN-000504,MBR-000194,Quarterly,2022-11-12,2023-02-11,4780,UPI,True,25,Renewed,-7,Phone Call from Staff,False
REN-030818,MBR-011970,Quarterly,2021-12-24,2022-03-25,10920,UPI,False,0,Lapsed,2,App,False
REN-044887,MBR-017418,Annual,2025-07-09,2026-07-09,28520,Debit Card,True,5,Renewed,4,App,False
REN-014116,MBR-005454,Monthly,2021-01-05,2021-02-04,1270,UPI,True,15,Renewed,-8,Phone Call from Staff,False
REN-036930,MBR-014324,Half-Yearly,2022-10-18,2023-04-18,23860,UPI,True,5,Renewed,-14,Front Desk,True
REN-035589,MBR-013835,Quarterly,2022-02-06,2022-05-08,23450,Credit Card,False,0,Renewed,18,Phone Call from Staff,False
REN-043872,MBR-016989,Annual,2024-10-17,2025-10-17,50220,UPI,False,0,Renewed,0,Front Desk,False
REN-032398,MBR-012587,Monthly,2025-04-13,2025-05-13,2430,UPI,False,0,Renewed,-7,App,False
REN-036259,MBR-014072,Annual,2022-11-23,2023-11-23,44380,Credit Card,True,5,Upgraded,8,Front Desk,False
REN-040372,MBR-015640,Annual,2025-09-24,2026-09-24,31090,Debit Card,False,0,Renewed,-5,Phone Call from Staff,False
REN-008375,MBR-003252,Quarterly,2024-08-24,2024-11-23,7220,Credit Card,False,0,Renewed,11,Front Desk,True
REN-008757,MBR-003401,Monthly,2022-01-13,2022-02-12,4810,UPI,False,0,Renewed,-1,Phone Call from Staff,False
