checkin_id,member_id,branch_id,checkin_datetime,checkout_datetime,workout_type,trainer_id,duration_minutes
CHK-000057,MBR-013505,BR-007,2021-01-21 10:19:56,2021-01-21 11:35:56,Cardio,,71
CHK-000058,MBR-001433,BR-038,2021-01-21 16:30:14,2021-01-21 18:02:14,Group Class,,94
CHK-000059,MBR-002778,BR-018,2021-01-21 18:56:55,2021-01-21 19:27:55,Strength Training,,33
CHK-000060,MBR-015597,BR-008,2021-01-21 22:01:06,2021-01-21 23:23:06,Strength Training,,79
CHK-000061,MBR-014321,BR-029,2021-01-22 05:41:02,2021-01-22 06:42:02,Cardio,,62
CHK-000062,MBR-014523,BR-026,2021-01-22 09:12:01,2021-01-22 10:51:01,Group Class,,98
CHK-000063,MBR-007004,BR-039,2021-01-22 18:02:50,2021-01-22 18:49:50,Group Class,,45
CHK-000064,MBR-000151,BR-012,2021-01-22 19:52:47,2021-01-22 21:00:47,Cardio,,64
CHK-000065,MBR-016941,BR-016,2021-01-23 11:28:58,2021-01-23 11:53:58,Cardio,,29
CHK-000066,MBR-013733,BR-035,2021-01-24 08:19:59,2021-01-24 09:31:59,Personal Training Session,TR-015,73
CHK-000067,MBR-003394,BR-016,2021-01-24 19:16:35,2021-01-24 20:49:35,Group Class,,91
CHK-000068,MBR-010140,BR-028,2021-01-25 06:52:07,2021-01-25 07:45:07,Group Class,,55
CHK-000069,MBR-002751,BR-030,2021-01-25 19:44:39,2021-01-25 21:31:39,Strength Training,,108
CHK-000070,MBR-005364,BR-010,2021-01-25 20:05:14,2021-01-25 21:03:14,Cardio,,56
CHK-000071,MBR-008101,BR-016,2021-01-25 22:49:19,2021-01-25 23:34:19,Group Class,,49
CHK-000072,MBR-011229,BR-008,2021-01-26 20:17:56,2021-01-26 21:58:56,Group Class,,104
CHK-000073,MBR-003836,BR-033,2021-01-27 02:52:53,2021-01-27 04:21:53,Group Class,,91
CHK-000074,MBR-014042,BR-017,2021-01-27 05:09:36,2021-01-27 06:50:36,Strength Training,,105
CHK-000075,MBR-007604,BR-023,2021-01-27 05:36:13,2021-01-27 06:22:13,Strength Training,,49
CHK-000076,MBR-001538,BR-024,2021-01-27 12:50:03,2021-01-27 14:27:03,Strength Training,,101
CHK-000077,MBR-013993,BR-038,2021-01-27 18:13:10,2021-01-27 19:41:10,Cardio,,90
CHK-000078,MBR-006277,BR-029,2021-01-27 18:46:47,2021-01-27 20:23:47,Group Class,,99
CHK-000079,MBR-005651,BR-016,2021-01-27 18:59:02,2021-01-27 20:05:02,Strength Training,,69
CHK-000080,MBR-007585,BR-008,2021-01-28 16:18:08,2021-01-28 17:17:08,Strength Training,,59
CHK-000081,MBR-003677,BR-013,2021-01-28 19:17:46,2021-01-28 19:55:46,Personal Training Session,TR-049,39
CHK-000082,MBR-005141,BR-015,2021-01-28 20:11:08,2021-01-28 21:34:08,Cardio,,86
CHK-000083,MBR-000434,BR-004,2021-01-28 20:23:56,2021-01-28 21:04:56,Group Class,,41
CHK-000084,MBR-005636,BR-018,2021-01-28 22:32:46,2021-01-28 23:46:46,Cardio,,72
CHK-000085,MBR-011812,BR-004,2021-01-29 15:15:50,2021-01-29 16:12:50,Personal Training Session,TR-045,60
CHK-000086,MBR-006298,BR-009,2021-01-29 18:56:27,2021-01-29 20:13:27,Group Class,,72
CHK-000087,MBR-007004,BR-039,2021-01-29 19:25:24,2021-01-29 20:48:24,Cardio,,82
CHK-000088,MBR-010704,BR-013,2021-01-29 21:34:16,2021-01-29 22:17:16,Group Class,,40
CHK-000089,MBR-010309,BR-027,2021-01-31 08:09:31,2021-01-31 09:12:31,Group Class,,62
CHK-000090,MBR-014443,BR-002,2021-01-31 17:12:33,2021-01-31 18:52:33,Group Class,,102
CHK-000091,MBR-013666,BR-018,2021-02-01 08:09:10,2021-02-01 08:55:10,Strength Training,,49
CHK-000092,MBR-015796,BR-008,2021-02-01 09:16:44,,Cardio,,62
CHK-000093,MBR-016736,BR-018,2021-02-01 16:59:37,2021-02-01 17:47:37,Group Class,,51
CHK-000094,MBR-006351,BR-012,2021-02-01 21:10:43,,Group Class,,87
CHK-000095,MBR-011238,BR-028,2021-02-02 07:48:58,2021-02-02 08:37:58,Cardio,,53
CHK-000096,MBR-001625,BR-009,2021-02-02 12:26:59,2021-02-02 13:19:59,Cardio,,51
CHK-000097,MBR-002252,BR-011,2021-02-02 12:39:23,2021-02-02 13:30:23,Cardio,,49
CHK-000098,MBR-005893,BR-031,2021-02-02 17:48:56,2021-02-02 18:30:56,Cardio,,43
CHK-000099,MBR-011812,BR-004,2021-02-02 18:48:49,,Group Class,,54
CHK-000100,MBR-002796,BR-021,2021-02-02 19:57:25,2021-02-02 21:19:25,Cardio,,79
CHK-000101,MBR-000246,BR-015,2021-02-02 22:28:14,2021-02-02 23:07:14,Personal Training Session,TR-009,39
CHK-000102,MBR-014872,BR-017,2021-02-03 09:26:08,2021-02-03 09:51:08,Cardio,,28
CHK-000103,MBR-000905,BR-033,2021-02-03 11:00:41,,Strength Training,,40
CHK-000104,MBR-005141,BR-015,2021-02-03 17:52:33,2021-02-03 18:41:33,Group Class,,48
CHK-000105,MBR-011287,BR-015,2021-02-03 19:18:55,2021-02-03 20:18:55,Cardio,,60
CHK-000106,MBR-006298,BR-009,2021-02-04 06:42:55,,Personal Training Session,TR-003,57
CHK-000107,MBR-014037,BR-009,2021-02-04 09:27:00,2021-02-04 10:20:00,Group Class,,50
CHK-000108,MBR-000287,BR-038,2021-02-04 10:41:59,2021-02-04 11:43:59,Cardio,,63
CHK-000109,MBR-011664,BR-034,2021-02-04 13:04:22,2021-02-04 14:33:22,Cardio,,86
CHK-000110,MBR-006086,BR-008,2021-02-04 18:47:17,2021-02-04 19:39:17,Group Class,,49
CHK-000111,MBR-009734,BR-019,2021-02-04 19:17:45,2021-02-04 20:19:45,Cardio,,59
CHK-000112,MBR-002134,BR-036,2021-02-04 19:49:00,2021-02-04 21:22:00,Cardio,,96
CHK-000113,MBR-016080,BR-002,2021-02-05 03:19:37,2021-02-05 04:07:37,Personal Training Session,TR-041,49
CHK-000114,MBR-005263,BR-011,2021-02-05 09:51:57,2021-02-05 10:50:57,Strength Training,,61
CHK-000115,MBR-000067,BR-036,2021-02-05 18:48:53,,Personal Training Session,TR-033,53
CHK-000116,MBR-006277,BR-029,2021-02-05 19:57:59,2021-02-05 20:38:59,Strength Training,,43
CHK-000117,MBR-012666,BR-034,2021-02-06 05:22:01,2021-02-06 06:19:01,Personal Training Session,TR-047,52
CHK-000118,MBR-004148,BR-033,2021-02-07 12:45:44,2021-02-07 13:34:44,Group Class,,52
CHK-000119,MBR-000638,BR-031,2021-02-08 06:23:24,2021-02-08 07:20:24,Group Class,,58
CHK-000120,MBR-007681,BR-034,2021-02-08 07:06:05,2021-02-08 07:30:05,Group Class,,28
CHK-000121,MBR-000948,BR-028,2021-02-08 16:30:52,2021-02-08 17:40:52,Cardio,,69
CHK-000122,MBR-000213,BR-021,2021-02-08 16:48:22,2021-02-08 17:47:22,Cardio,,62
CHK-000123,MBR-005364,BR-020,2021-02-08 20:43:41,2021-02-08 21:42:41,Strength Training,,63
CHK-000124,MBR-003802,BR-026,2021-02-09 03:05:17,2021-02-09 04:24:17,Strength Training,,74
CHK-000125,MBR-007585,BR-008,2021-02-09 06:18:36,2021-02-09 07:22:36,Cardio,,60
CHK-000126,MBR-011965,BR-020,2021-02-09 07:45:13,,Group Class,,75
CHK-000127,MBR-016975,BR-009,2021-02-09 12:04:24,2021-02-09 12:32:24,Cardio,,26
CHK-000128,MBR-011825,BR-020,2021-02-09 19:56:49,2021-02-09 20:57:49,Group Class,,57
CHK-000129,MBR-004634,BR-013,2021-02-10 07:54:53,,Cardio,,35
CHK-000130,MBR-012957,BR-028,2021-02-10 08:44:29,2021-02-10 09:35:29,Strength Training,,50
CHK-000131,MBR-012053,BR-026,2021-02-10 09:06:38,2021-02-10 10:33:38,Cardio,,90
CHK-000132,MBR-016115,BR-031,2021-02-10 12:59:25,2021-02-10 13:47:25,Strength Training,,51
CHK-000133,MBR-010813,BR-036,2021-02-10 14:11:01,2021-02-10 15:15:01,Group Class,,64
CHK-000134,MBR-000067,BR-036,2021-02-10 18:59:47,2021-02-10 19:59:47,Strength Training,,59
CHK-000135,MBR-006896,BR-021,2021-02-10 20:09:01,2021-02-10 21:35:01,Cardio,,84
CHK-000136,MBR-000067,BR-036,2021-02-10 21:02:36,2021-02-10 21:55:36,Personal Training Session,TR-038,52
CHK-000137,MBR-003452,BR-038,2021-02-10 21:33:24,2021-02-10 22:42:24,Personal Training Session,TR-014,71
CHK-000138,MBR-013647,BR-017,2021-02-11 09:30:58,,Strength Training,,63
CHK-000139,MBR-015796,BR-008,2021-02-11 19:14:31,2021-02-11 20:08:31,Group Class,,51
CHK-000140,MBR-011719,BR-020,2021-02-11 19:52:54,2021-02-11 21:36:54,Cardio,,101
CHK-000141,MBR-006351,BR-012,2021-02-11 19:55:50,2021-02-11 21:05:50,Group Class,,68
CHK-000142,MBR-013209,BR-027,2021-02-12 06:36:09,,Strength Training,,46
CHK-000143,MBR-006657,BR-037,2021-02-12 16:07:20,2021-02-12 17:07:20,Personal Training Session,TR-032,60
CHK-000144,MBR-000580,BR-017,2021-02-12 19:10:27,2021-02-12 20:01:27,Personal Training Session,TR-005,55
CHK-000145,MBR-013226,BR-011,2021-02-12 21:41:16,2021-02-12 22:38:16,Cardio,,61
CHK-000146,MBR-002887,BR-038,2021-02-13 06:35:46,2021-02-13 07:37:46,Personal Training Session,TR-039,60
CHK-000147,MBR-003210,BR-033,2021-02-13 12:17:04,2021-02-13 12:45:04,Strength Training,,24
CHK-000148,MBR-001684,BR-017,2021-02-14 07:31:05,2021-02-14 09:18:05,Strength Training,,109
CHK-000149,MBR-013866,BR-024,2021-02-14 18:45:19,,Cardio,,63
CHK-000150,MBR-011908,BR-016,2021-02-14 19:44:20,2021-02-14 20:06:20,Strength Training,,23
CHK-000151,MBR-009604,BR-030,2021-02-14 20:49:59,2021-02-14 22:07:59,Strength Training,,80
CHK-000152,MBR-007046,BR-033,2021-02-15 04:57:58,2021-02-15 05:17:58,Cardio,,23
CHK-000153,MBR-015676,BR-017,2021-02-15 05:45:38,2021-02-15 07:35:38,Group Class,,105
CHK-000154,MBR-013051,BR-038,2021-02-15 07:30:48,2021-02-15 08:14:48,Cardio,,45
CHK-000155,MBR-003228,BR-018,2021-02-15 12:33:07,2021-02-15 13:41:07,Strength Training,,71
CHK-000156,MBR-013105,BR-017,2021-02-16 09:12:27,2021-02-16 10:47:27,Cardio,,91
CHK-000157,MBR-008936,BR-038,2021-02-16 19:29:39,2021-02-16 20:48:39,Strength Training,,80
CHK-000158,MBR-011092,BR-038,2021-02-16 19:46:01,2021-02-16 21:14:01,Group Class,,89
CHK-000159,MBR-012188,BR-012,2021-02-16 20:15:46,2021-02-16 21:18:46,Group Class,,61
CHK-000160,MBR-010754,BR-012,2021-02-16 21:22:55,,Cardio,,54
CHK-000161,MBR-002066,BR-035,2021-02-17 09:11:34,2021-02-17 10:18:34,Cardio,,69
CHK-000162,MBR-013557,BR-021,2021-02-17 19:35:53,2021-02-17 20:23:53,Strength Training,,51
CHK-000163,MBR-003259,BR-039,2021-02-18 07:24:09,2021-02-18 09:02:09,Group Class,,99
CHK-000164,MBR-015032,BR-028,2021-02-18 14:26:01,2021-02-18 15:04:01,Cardio,,36
CHK-000165,MBR-015032,BR-028,2021-02-18 14:31:01,2021-02-18 15:09:01,Cardio,,36
CHK-000166,MBR-015533,BR-005,2021-02-18 18:28:42,2021-02-18 19:18:42,Cardio,,48
CHK-000167,MBR-003245,BR-017,2021-02-18 20:44:05,2021-02-18 21:41:05,Cardio,,53
CHK-000168,MBR-001625,BR-009,2021-02-18 21:53:35,2021-02-18 22:50:35,Personal Training Session,TR-018,60
CHK-000169,MBR-003152,BR-031,2021-02-19 07:16:20,2021-02-19 08:38:20,Strength Training,,85
CHK-000170,MBR-011364,BR-033,2021-02-19 11:54:01,2021-02-19 13:15:01,Cardio,,84
CHK-000171,MBR-011664,BR-034,2021-02-19 14:48:57,2021-02-19 15:46:57,Personal Training Session,TR-010,57
CHK-000172,MBR-011776,BR-006,2021-02-19 18:12:56,2021-02-19 19:36:56,Cardio,,86
CHK-000173,MBR-009038,BR-037,2021-02-20 12:55:21,2021-02-20 13:57:21,Strength Training,,66
CHK-000174,MBR-000042,BR-034,2021-02-21 09:37:22,2021-02-21 10:23:22,Strength Training,,44
CHK-000175,MBR-004148,BR-033,2021-02-21 16:14:41,,Strength Training,,52
CHK-000176,MBR-000258,BR-029,2021-02-21 18:13:06,,Strength Training,,40
CHK-000177,MBR-001954,BR-037,2021-02-21 18:26:21,2021-02-21 19:58:21,Group Class,,89
CHK-000178,MBR-007008,BR-028,2021-02-22 06:27:04,2021-02-22 07:13:04,Group Class,,47
CHK-000179,MBR-014211,BR-028,2021-02-22 13:05:14,2021-02-22 14:31:14,Strength Training,,89
CHK-000180,MBR-004191,BR-038,2021-02-22 18:36:25,2021-02-22 19:54:25,Personal Training Session,TR-036,80
CHK-000181,MBR-014757,BR-034,2021-02-22 21:07:50,,Group Class,,88
CHK-000182,MBR-012995,BR-021,2021-02-23 06:28:24,2021-02-23 07:19:24,Strength Training,,46
CHK-000183,MBR-010626,BR-038,2021-02-23 07:44:34,2021-02-23 08:44:34,Group Class,,63
CHK-000184,MBR-013105,BR-017,2021-02-23 15:52:06,2021-02-23 16:38:06,Personal Training Session,TR-014,41
CHK-000185,MBR-011812,BR-004,2021-02-23 19:18:33,2021-02-23 19:38:33,Strength Training,,21
CHK-000186,MBR-007423,BR-033,2021-02-23 20:26:32,2021-02-23 21:21:32,Group Class,,53
CHK-000187,MBR-005939,BR-003,2021-02-24 03:52:03,2021-02-24 05:12:03,Strength Training,,80
CHK-000188,MBR-011825,BR-020,2021-02-24 05:29:13,2021-02-24 06:22:13,Personal Training Session,TR-030,57
CHK-000189,MBR-014042,BR-017,2021-02-24 13:33:18,,Cardio,,64
CHK-000190,MBR-015254,BR-018,2021-02-24 18:29:44,2021-02-24 19:54:44,Cardio,,84
CHK-000191,MBR-001874,BR-017,2021-02-25 06:54:55,2021-02-25 07:35:55,Strength Training,,37
CHK-000192,MBR-001471,BR-029,2021-02-25 20:40:24,2021-02-25 21:54:24,Cardio,,70
CHK-000193,MBR-004622,BR-038,2021-02-26 00:32:02,2021-02-26 01:56:02,Strength Training,,80
CHK-000194,MBR-010102,BR-037,2021-02-26 15:16:07,2021-02-26 16:27:07,Group Class,,66
CHK-000195,MBR-016941,BR-016,2021-02-26 16:10:08,,Group Class,,58
CHK-000196,MBR-007632,BR-040,2021-02-26 16:15:25,2021-02-26 17:15:25,Strength Training,,63
CHK-000197,MBR-012957,BR-028,2021-02-26 17:47:50,,Cardio,,48
CHK-000198,MBR-003906,BR-038,2021-02-26 19:05:14,2021-02-26 20:38:14,Cardio,,95
CHK-000199,MBR-009483,BR-024,2021-02-26 19:39:23,,Cardio,,75
CHK-000200,MBR-008294,BR-033,2021-02-26 22:20:16,2021-02-26 23:26:16,Strength Training,,66
CHK-000201,MBR-007004,BR-039,2021-02-27 09:02:58,2021-02-27 10:10:58,Cardio,,70
CHK-000202,MBR-006690,BR-027,2021-02-27 12:39:15,2021-02-27 13:47:15,Strength Training,,63
CHK-000203,MBR-002963,BR-037,2021-02-27 13:43:00,2021-02-27 15:02:00,Strength Training,,83
CHK-000204,MBR-005465,BR-024,2021-02-28 08:35:50,2021-02-28 10:15:50,Group Class,,100
CHK-000205,MBR-015138,BR-034,2021-02-28 15:28:41,2021-02-28 16:39:41,Cardio,,71
CHK-000206,MBR-007604,BR-023,2021-02-28 16:18:53,2021-02-28 16:40:53,Cardio,,25
CHK-000207,MBR-000419,BR-015,2021-02-28 18:52:45,,Cardio,,71
CHK-000208,MBR-016939,BR-031,2021-03-01 00:55:58,,Strength Training,,54
CHK-000209,MBR-015971,BR-031,2021-03-01 09:16:16,2021-03-01 09:54:16,Group Class,,38
CHK-000210,MBR-012953,BR-035,2021-03-01 12:56:15,2021-03-01 14:33:15,Cardio,,100
CHK-000211,MBR-006824,BR-029,2021-03-01 18:52:57,2021-03-01 20:15:57,Cardio,,79
CHK-000212,MBR-016941,BR-016,2021-03-01 20:00:47,2021-03-01 20:54:47,Group Class,,49
CHK-000213,MBR-014846,BR-004,2021-03-01 20:46:21,,Personal Training Session,TR-012,62
CHK-000214,MBR-014829,BR-008,2021-03-02 13:46:33,2021-03-02 15:02:33,Strength Training,,73
CHK-000215,MBR-005562,BR-013,2021-03-02 20:40:32,2021-03-02 21:05:32,Group Class,,28
CHK-000216,MBR-014217,BR-028,2021-03-02 21:16:09,2021-03-02 22:20:09,Personal Training Session,TR-049,61
CHK-000217,MBR-005893,BR-031,2021-03-03 04:32:53,,Cardio,,68
CHK-000218,MBR-002023,BR-017,2021-03-03 05:26:29,2021-03-03 06:19:29,Group Class,,53
CHK-000219,MBR-006681,BR-040,2021-03-03 12:47:29,2021-03-03 13:46:29,Cardio,,56
CHK-000220,MBR-010535,BR-023,2021-03-03 16:15:38,2021-03-03 17:21:38,Group Class,,66
CHK-000221,MBR-006522,BR-038,2021-03-04 14:20:28,2021-03-04 15:02:28,Cardio,,46
CHK-000222,MBR-013896,BR-034,2021-03-04 16:20:43,2021-03-04 17:59:43,Cardio,,99
CHK-000223,MBR-001445,BR-035,2021-03-04 21:22:18,2021-03-04 22:24:18,Personal Training Session,TR-026,65
CHK-000224,MBR-000905,BR-033,2021-03-04 21:58:47,2021-03-04 23:12:47,Strength Training,,71
CHK-000225,MBR-011672,BR-028,2021-03-05 06:50:43,2021-03-05 07:48:43,Strength Training,,62
CHK-000226,MBR-002023,BR-017,2021-03-05 07:46:03,2021-03-05 09:02:03,Group Class,,76
CHK-000227,MBR-016573,BR-020,2021-03-05 07:59:33,2021-03-05 08:57:33,Strength Training,,58
CHK-000228,MBR-007857,BR-033,2021-03-05 14:32:30,2021-03-05 15:50:30,Cardio,,82
CHK-000229,MBR-009038,BR-037,2021-03-05 15:35:59,2021-03-05 16:13:59,Group Class,,35
CHK-000230,MBR-010170,BR-022,2021-03-05 17:11:03,2021-03-05 18:07:03,Cardio,,51
CHK-000231,MBR-012333,BR-017,2021-03-05 19:16:09,2021-03-05 19:55:09,Cardio,,39
CHK-000232,MBR-015676,BR-017,2021-03-05 20:24:56,2021-03-05 21:26:56,Cardio,,58
CHK-000233,MBR-012995,BR-021,2021-03-05 21:23:12,,Strength Training,,94
CHK-000234,MBR-004601,BR-035,2021-03-05 21:41:27,2021-03-05 22:13:27,Strength Training,,32
CHK-000235,MBR-006028,BR-038,2021-03-05 22:10:56,2021-03-05 22:56:56,Strength Training,,47
CHK-000236,MBR-004383,BR-005,2021-03-06 07:54:41,2021-03-06 08:49:41,Strength Training,,52
CHK-000237,MBR-011116,BR-007,2021-03-06 10:41:30,2021-03-06 11:29:30,Group Class,,46
CHK-000238,MBR-003181,BR-008,2021-03-06 18:33:02,2021-03-06 19:40:02,Cardio,,66
CHK-000239,MBR-015627,BR-030,2021-03-06 19:44:08,2021-03-06 21:04:08,Cardio,,79
CHK-000240,MBR-000905,BR-033,2021-03-06 20:02:06,,Strength Training,,60
CHK-000241,MBR-003198,BR-033,2021-03-07 11:11:34,2021-03-07 12:22:34,Cardio,,71
CHK-000242,MBR-006362,BR-032,2021-03-07 18:14:00,2021-03-07 18:49:00,Cardio,,37
CHK-000243,MBR-007857,BR-033,2021-03-07 18:52:26,2021-03-07 19:21:26,Group Class,,26
CHK-000244,MBR-008829,BR-035,2021-03-07 22:15:17,2021-03-07 22:57:17,Cardio,,46
CHK-000245,MBR-005464,BR-034,2021-03-08 05:09:43,2021-03-08 05:42:43,Cardio,,32
CHK-000246,MBR-013666,BR-018,2021-03-08 07:08:37,2021-03-08 07:43:37,Group Class,,39
CHK-000247,MBR-013160,BR-016,2021-03-08 11:06:30,2021-03-08 12:22:30,Group Class,,76
CHK-000248,MBR-007377,BR-031,2021-03-08 17:27:15,,Group Class,,57
CHK-000249,MBR-009786,BR-031,2021-03-08 18:16:51,2021-03-08 19:23:51,Personal Training Session,TR-050,64
CHK-000250,MBR-006730,BR-004,2021-03-08 19:28:45,,Group Class,,62
CHK-000251,MBR-000761,BR-011,2021-03-08 19:59:03,2021-03-08 20:44:03,Strength Training,,42
CHK-000252,MBR-014839,BR-027,2021-03-08 20:02:52,2021-03-08 20:52:52,Strength Training,,46
CHK-000253,MBR-001373,BR-008,2021-03-09 07:35:06,2021-03-09 08:56:06,Strength Training,,83
CHK-000254,MBR-011837,BR-015,2021-03-09 08:09:03,2021-03-09 08:53:03,Strength Training,,46
CHK-000255,MBR-013638,BR-027,2021-03-09 10:00:33,2021-03-09 11:47:33,Cardio,,102
CHK-000256,MBR-001767,BR-033,2021-03-09 12:43:30,2021-03-09 14:29:30,Cardio,,107
CHK-000257,MBR-006730,BR-004,2021-03-09 19:33:03,2021-03-09 20:44:03,Strength Training,,67
CHK-000258,MBR-010396,BR-036,2021-03-09 19:49:08,2021-03-09 20:55:08,Group Class,,69
CHK-000259,MBR-011641,BR-036,2021-03-09 20:19:45,2021-03-09 21:05:45,Strength Training,,46
CHK-000260,MBR-009449,BR-022,2021-03-09 20:42:42,2021-03-09 22:20:42,Cardio,,102
CHK-000261,MBR-013105,BR-017,2021-03-09 21:30:38,2021-03-09 22:35:38,Personal Training Session,TR-021,67
CHK-000262,MBR-000723,BR-033,2021-03-10 05:15:13,2021-03-10 06:52:13,Strength Training,,101
CHK-000263,MBR-002295,BR-005,2021-03-10 06:45:51,,Strength Training,,47
CHK-000264,MBR-007841,BR-011,2021-03-10 17:15:03,,Cardio,,66
